 NUMBER OF REQUESTS
  500

 NUMBER OF CROSSDOCKS
  1
  
 VEHICLE CAPACITY           VEHICLE SPEED
   50                             0

 UNIT_TIME_FOR_PALLET      FIXED_TIME_PREPARATION
    1                          5
 REQUEST      SUPPLIER                                            CUSTOMER
 CUST NO.     XCOORD.     YCOORD.     READY TIME     DUE DATE     XCOORD.     YCOORD.     READY TIME     DUE DATE     DEMAND
    0          250          250            0          1925          250          250            0         1925          11
    1          171           34          261           514          439          237         1074         1347          12
    2           67          190          230           538          377          385          929         1218          10
    3           80          400          248           427          449          428         1212         1585           4
    4           83          290          193           372          342          481         1179         1450          13
    5          164          320          133           319          466          149         1118         1386          12
    6           52          412          278           461          251           63         1118         1407           7
    7          144          331          156           341          328          491         1134         1401           9
    8          104          349          208           466          260          472         1163         1510           4
    9           28          467          339           575          290          145         1049         1382           6
   10           91          427          260           438          266          221          970         1312           6
   11          210          276           69           248          485          104         1115         1383          14
   12           58           39          307           488          387          394         1058         1333          18
   13           41          232          232           411          472           57         1173         1435          10
   14           25           53          322           515          343          276         1016         1296          12
   15           52           18          327           506          429          476         1214         1471           9
   16           27          444          325           571          273          300          981         1265           8
   17          178           72          214           393          406          460         1134         1401          18
   18          233           87          188           389          250          328         1015         1356          18
   19           60            5          332           511          492           34          929         1218          19
   20          245           42          247           562          412          100         1122         1390          19
   21          166          345          148           327          406          408         1104         1374           1
   22           32          319          256           477          440          294         1125         1404          10
   23            0          188          281           471          370          382          929         1218           6
   24          132          477          286           529          480          136         1179         1440           2
   25          203          211           96           379          371          163         1020         1299          16
   26            2          264          290           626          438            5         1213         1470          11
   27          231          167          140           584          423          221         1041         1317           1
   28          130          494          303           557          459           53         1224         1538           1
   29           31          175          255           448          386          154         1076         1349          10
   30           69          423          272           451          352          241          933         1221          19
   31           59          276          216           409          261          201          979         1263          12
   32          146          188          170           569          451           62         1152         1416           2
   33          142          372          206           561          299          285          937         1225          20
   34          219          210           91           423          440          201         1125         1398          15
   35           64          198          215           395          390          249         1069         1347           6
   36            9          101          321           633          424          288         1110         1402           3
   37           77          372          233           413          298          264         1013         1538           1
   38          225          369          143           322          405          454         1188         1475          14
   39          117          178          174           363          407           35         1200         1494           7
   40          132          479          289           542          347          459         1143         1409           6
   41          201           66          213           398          470          138         1184         1510          20
   42          245          176          118           478          348          476         1160         1424          12
   43          115          296          176           450          327          139         1085         1506          16
   44           43          210          235           435          356          256         1055         1473           1
   45           49          353          247           426          335           99         1026         1304           3
   46           33          278          242           432          363           34         1170         1432           4
   47           86          189          197           375          366          288         1054         1350           1
   48          218          403          178           357          452          172         1151         1454          12
   49          218           12          262           441          262          369         1014         1293          14
   50          228          399          172           351          492          188         1195         1578          19
   51          210          113          164           343          267          174          969         1253          10
   52          241          180          109           420          274          441         1122         1398           6
   53          100           85          245           423          370          262         1017         1296           1
   54          114          102          247           623          303          186          965         1250           7
   55           21          146          276           479          350          199          980         1263           7
   56          201          278           78           257          500          228         1187         1498           8
   57          105          137          206           388          251          238          951         1312          10
   58           64          437          286           467          345          146         1059         1334           8
   59          181          260          104           384          330          147         1059         1337           9
   60          232          101          172           351          476           61         1147         1411          19
   61          108           37          287           537          386          245         1067         1358          18
   62            5          224          268           449          421          499         1195         1455          20
   63           93          413          248           427          426          231         1078         1350          20
   64          210           29          251           472          413          391         1156         1503           9
   65          136          265          138           326          370          493         1184         1444           6
   66          111          178          200           558          447          267         1124         1391          17
   67           57          183          227           412          371          332         1084         1424          11
   68          181          185          116           295          447          383         1124         1391          18
   69            7          382          301           507          325          147         1057         1341          11
   70          174           41          244           425          489          437         1236         1523          17
   71          161          276          114           294          415           95         1108         1377           4
   72          210          379          193           661          331          356         1012         1292           2
   73           60          231          213           391          374          346         1088         1375           8
   74           44          115          282           575          409          155         1053         1328          19
   75           48          293          228           407          291          251          929         1218          14
   76           64          135          240           419          322          290         1048         1593           2
   77           65           62          291           518          425          448         1146         1411          14
   78           68          303          214           419          398           49         1181         1466          14
   79          147           30          265           452          453          360         1164         1461          14
   80           89          358          219           426          367           97         1099         1369           7
   81           20          480          348           537          488            3         1263         1515          13
   82          111          392          220           399          404          207          995         1277          15
   83          248          176          102           330          263          418         1104         1421          12
