 NUMBER OF REQUESTS
  200

 NUMBER OF CROSSDOCKS
  1

 VEHICLE CAPACITY           VEHICLE SPEED
   50                             0

 UNIT_TIME_FOR_PALLET      FIXED_TIME_PREPARATION
    1                          5
 REQUEST      SUPPLIER                                            CUSTOMER
 CUST NO.     XCOORD.     YCOORD.     READY TIME     DUE DATE     XCOORD.     YCOORD.     READY TIME     DUE DATE     DEMAND
    0          100          100            0           804          100          100            0          804          20
    1           20           59          191           291          178           61          477          742           1
    2           39          186          230           320          182          110          545          794           8
    3           58           19          193           292          186           65          467          738           4
    4           60           71          151           250          123           90          496          775           2
    5           86          150          153           252          134          157          451          730           8
    6           40           95          189           314          176          132          446          727           8
    7           55          100          177           306          155           17          474          741           5
    8           18           35          207           307          159          187          473          740          20
    9           88          152          203           320          174          194          507          757          15
   10           26           41          196           295          136           90          466          740          16
   11           24          131          198           311          184          140          535          780          16
   12           97          192          193           293          143          179          465          737           5
   13           63           44          173           277          171           69          501          755          20
   14            1           54          212           312          153           19          435          722          14
   15            1          149          214           315          111          189          453          731          10
   16           83          180          186           288          159          105          423          716           7
   17           63          141          162           266          101          127          423          716           5
   18           39          112          164           263          149           78          482          748          20
   19           50           31          214           320          157          142          423          716          16
   20           28          160          195           294          156           93          514          777           8
   21           74          163          170           269          158           81          495          757          14
   22           39          151          212           320          189           83          465          737          18
   23            5          122          199           299          162          162          530          778           5
   24           49           99          156           258          176           58          454          731          14
   25           53          175          230           320          173          147          521          769          17
   26           48          106          169           283          112           42          491          754           2
   27           78          169          175           276          155           22          521          765          12
   28           75          170          206           320          154            7          484          746           8
   29            5          130          204           307          181           39          445          727           3
   30           85           85          145           266          171           36          425          717          12
   31           66            3          219           320          158          132          450          729           7
   32           45           95          189           319          112          174          538          792          15
   33           84          188          253           320          124          191          487          747          19
   34           38          101          238           320          158           20          520          764           2
   35           55           51          171           274          130           55          456          732          16
   36           48           94          154           253          180           66          445          727          18
   37           35            9          222           320          139          158          453          731          10
   38           11          118          200           307          119          113          468          748          20
   39           42          174          196           297          136           12          448          728           9
   40           60          153          227           320          121           48          468          738           4
   41           97          129          181           320          118          117          464          744           7
   42           68          191          207           314          104           88          472          757           4
   43           86          110          119           218          154           29          443          726           9
   44           18           59          193           293          172          186          440          724          19
   45           37          146          209           320          138           72          423          716          10
   46           17           32          209           308          104          142          423          716          18
   47           86           69          137           238          104            5          522          767          17
   48           67           70          175           301          141          146          441          725          14
   49           49           71          160           259          159          196          464          736          17
   50           89          176          202           320          113          100          485          770           4
   51           46           40          232           320          184          101          449          729          14
   52           78           72          137           236          181           70          468          738           3
   53           69          150          160           259          138           61          461          735           1
   54            6          120          197           297          182            9          496          752          18
   55           70          130          144           243          104          176          482          745           8
   56           23          168          204           304          137           41          492          750          17
   57           65           42          189           308          151          180          423          716          12
   58           53          180          202           309          146            3          461          735          19
   59           90            4          228           320          186            8          469          739           5
   60           76          102          159           290          107           96          423          716          14
   61           30           67          179           278          154          184          522          764           2
   62           68          115          137           236          100          144          423          716           3
   63           84           81          155           281          121           46          453          731           8
   64           31           63          204           320          177          134          440          724          13
   65           30          183          212           312          155          107          423          716           5
   66           20           72          186           286          148           38          510          762          15
   67           82           48          156           256          178          127          506          757          10
   68           57          157          206           320          144           92          514          783          14
   69           67          138          153           253          122           13          507          757           7
   70           63          149          163           262          197            7          481          744          11
   71           41           43          225           320          149          176          515          762          17
   72           74           67          143           243          106           41          494          757           5
   73           60          184          246           320          151          132          423          716          14
   74           63          192          201           300          122           38          473          740          17
   75           77          119          131           230          114          122          495          773           3
   76           63          151          172           278          108          148          491          759          15
   77           51          162          180           280          149          103          477          745          15
   78           57          118          157           266          103           97          423          716          11
   79           46            5          221           320          107          133          423          716           1
   80           80          190          194           293          114          183          436          722           3
   81           62          152          166           265          113          105          437          723          14
   82           41           16          230           320          142           27          451          730          14
   83            9          122          232           320          168           58          479          743          17
   84           27           97          204           320          200          162          492          750          14
   85           19           51          196           295          135          110          465          739           3
   86            8           89          222           320          116           52          474          741           4
   87           56          148          203           320          125           53          475          742           3
   88           90          174          187           297          115           50          525          789          14
   89           41           73          166           265          184          110          527          777          14
   90           42          148          189           299          110          110          447          733           7
   91           95           50          152           251          152          122          423          716          19
   92           25          165          201           300          191          124          436          722           8
   93           66           98          189           320          135           45          439          724           1
   94           55           87          148           247          125           49          464          736          18
   95           97            9          229           320          173           42          523          769          20
   96           63          116          172           300          172          179          500          754          17
   97           94          119          121           220          118           45          423          716          13
   98           46          131          164           263          161            3          476          742           1
   99           81          183          187           286          145           71          433          721           2
  100            3          101          238           320          193          127          536          780          11
  101           23          123          182           281          183          170          518          763          11
  102           12           15          229           320          124          165          445          727          11
  103           10           20          223           320          198           97          464          736          15
  104           19           38          206           308          168          146          466          737          17
  105           62          138          157           258          121           50          423          716           7
  106           32           23          229           320          115           75          431          720          10
  107           42           72          166           265          112           78          497          776          11
  108           36          104          169           271          123           59          471          740          13
  109           92          178          201           320          147          193          480          744          20
  110           68          156          230           320          186          149          483          745          11
  111           59          139          160           262          122           58          429          719          16
  112            7          119          200           302          113          158          465          736          14
  113            5          162          221           320          172           55          474          741          16
  114           76           93          126           225          137           10          469          738           4
  115           40          115          180           294          131          136          482          750           7
  116           53           79          178           302          100           53          448          728          19
  117           37          177          226           320          113           14          529          777           8
  118           24          197          242           320          159          129          423          716           9
  119           85          193          201           305          114           72          497          772           4
  120           68           40          203           320          157          196          462          735          13
  121           23           74          186           287          148          196          532          771           7
  122           85          164          180           291          111          129          438          723          15
  123           69           64          149           248          174          185          501          754          20
  124           26           45          194           293          165          156          509          758          20
  125           75          134          174           302          127          143          436          722           4
  126            8            8          236           320          141          132          493          759          19
  127           12          113          190           290          113          151          458          733          16
  128           28          187          226           320          142           60          465          737           8
