 NUMBER OF REQUESTS
 150

 NUMBER OF CROSSDOCKS
  1

 VEHICLE CAPACITY          VEHICLE SPEED
       33                        60

 UNIT_TIME_FOR_PALLET      FIXED_TIME_PREPARATION
   1                             10
 REQUEST      SUPPLIER                                            CUSTOMER
 CUST NO.     XCOORD.     YCOORD.     READY TIME     DUE DATE     XCOORD.     YCOORD.     READY TIME     DUE DATE     DEMAND
    0          677908     6150220         0          10000        677908      6150220         0           10000         0
    1          720415     6176264        375         495          538181      6086484        767          887           16
    2          711815     6208837        407         527          588257      6139249        733          853           10
    3          710831     6168718        438         558          528913      6152557        817          937           4
    4          662179     6199594        393         513          500074      6269745        816          936           4
    5          720134     6210199        464         584          585053      6140355        738          858           3
    6          723050     6178505        394         514          557926      6181752        738          858           9
    7          722462     6177770        365         485          609023      6077163        737          857           3
    8          719104     6173159        360         480          507721      6199180        769          889           3
    9          726755     6174369        390         510          522714      6075103        927          1047           6
    10          718638     6205725        386         506          526981      6257531        804          924           8
    11          665308     6126823        401         521          465029      6147733        917          1037           4
    12          714197     6169877        360         474          466076      6153323        897          1017           3
    13          711357     6175122        402         522          468578      6147060        923          1043           14
    14          712256     6183711        414         534          604134      6229591        699          819           10
    15          724312     6179850        418         538          569239      6227022        873          993           7
    16          713038     6174563        380         500          527858      6099834        741          861           8
    17          680041     6165335        360         461          550967      6189326        734          854           16
    18          714000     6175858        361         481          460950      6153723        879          999           7
    19          729376     6171380        381         501          524269      6122271        751          871           3
    20          719162     6180836        441         561          559318      6372820        936          1056           7
    21          721643     6191903        398         518          575715      6233068        820          940           4
    22          713328     6180335        371         491          526379      6098375        768          888           15
    23          707883     6172444        377         497          551154      6085190        747          867           10
    24          718616     6178587        367         487          509955      6220242        937          1057           8
    25          692484     6114229        360         477          551548      6086116        710          830           9
    26          722535     6177884        378         498          525913      6100626        865          985           3
    27          717147     6175321        362         482          566795      6235297        740          860           6
    28          711404     6173040        360         480          571232      6217308        756          876           10
