 NUMBER OF REQUESTS
 150

 NUMBER OF CROSSDOCKS
  1

 VEHICLE CAPACITY          VEHICLE SPEED
       33                        60

 UNIT_TIME_FOR_PALLET      FIXED_TIME_PREPARATION
   1                             10
 REQUEST      SUPPLIER                                            CUSTOMER
 CUST NO.     XCOORD.     YCOORD.     READY TIME     DUE DATE     XCOORD.     YCOORD.     READY TIME     DUE DATE     DEMAND
    0          677908     6150220         0          10000        677908      6150220         0           10000         0    
    1          636913     6159494        404         524          610671      6088610        676          796           17
    2          722049     6178078        392         512          485820      6111806        809          929           14
    3          688131     6209144        389         509          615421      6254076        814          934           3
    4          717215     6175185        362         482          564259      6258052        791          911           6
    5          693876     6084034        402         522          529764      6222960        810          930           5
    6          632262     6172762        371         491          485109      6251104        966          1086           11
    7          716752     6174692        397         517          500397      6148579        851          971           15
    8          721394     6177473        367         487          474942      6164481        856          976           6
    9          670074     6177817        500         620          581744      6237857        762          882           8
    10          718321     6170178        368         488          491589      6088546        899          1019           13
    11          640709     6143124        360         480          552524      6193139        736          856           13
    12          659585     6179186        410         530          574727      6227013        697          817           16
    13          725541     6167868        391         511          459828      6154150        819          939           6
    14          719836     6173647        369         489          533925      6225136        817          937           11
    15          723961     6177501        397         517          533427      6173092        746          866           5
    16          657940     6170567        452         572          615921      6254158        700          820           4
    17          686354     6099867        426         546          523693      6076767        796          916           11
    18          719962     6178008        412         532          574684      6227015        706          826           9
    19          684169     6099506        403         523          483742      6225905        928          1048           9
    20          726829     6167226        416         536          478313      6244603        889          1009           13
    21          658032     6081691        390         510          573532      6230885        775          895           9
    22          654767     6185269        423         543          574359      6224340        798          918           16
    23          713085     6169929        409         529          555233      6192491        686          806           12
    24          727945     6174069        392         512          575020      6212907        697          817           3
    25          683346     6082035        477         597          530372      6134646        815          935           13
    26          687188     6161725        360         472          590982      6142551        745          865           7
    27          709031     6203861        470         590          588987      6135401        722          842           3
    28          688775     6135270        360         451          598831      6147436        719          839           3
    29          685488     6071992        451         571          545112      6158907        769          889           12
    30          675752     6123049        360         465          533530      6170874        726          846           8
    31          722319     6183712        446         566          470085      6195109        886          1006           3
    32          699268     6185553        376         496          596980      6120648        732          852           11
    33          725168     6174629        388         508          568105      6233579        773          893           10
    34          723717     6213658        428         548          522126      6102021        788          908           13
    35          715730     6221135        424         544          573241      6225585        770          890           16
    36          718355     6188224        391         511          520524      6283101        897          1017           10
    37          704123     6193066        363         483          557210      6322362        887          1007           3
    38          700354     6153113        360         467          575715      6233072        722          842           15
    39          723136     6184197        399         519          591698      6231415        746          866           15
    40          708884     6204068        457         577          570766      6203712        750          870           5
    41          720617     6211329        411         531          580571      6142151        855          975           14
    42          693548     6170558        380         500          455166      6165096        855          975           14
    43          721309     6179085        375         495          565881      6236184        731          851           13
    44          723263     6178239        407         527          571517      6219808        758          878           11
    45          719251     6175356        401         521          533493      6174730        755          875           10
    46          719633     6181849        427         547          531772      6208497        790          910           3
    47          719962     6178008        393         513          567762      6211622        718          838           11
    48          723991     6180148        423         543          571899      6214089        725          845           14
    49          723167     6213628        404         524          587125      6250622        772          892           17
