 NUMBER OF REQUESTS
 200

 NUMBER OF CROSSDOCKS
  1

 VEHICLE CAPACITY          VEHICLE SPEED
       33                        60

 UNIT_TIME_FOR_PALLET      FIXED_TIME_PREPARATION
   1                             10
 REQUEST      SUPPLIER                                            CUSTOMER
 CUST NO.     XCOORD.     YCOORD.     READY TIME     DUE DATE     XCOORD.     YCOORD.     READY TIME     DUE DATE     DEMAND
    0          677908     6150220         0          10000        677908      6150220         0           10000         0
    1          681736     6202205        409         529          545244      6157347        754          874           13
    2          701138     6151297        360         466          533203      6173313        738          858           13
    3          652039     6171578        407         527          562307      6223347        731          851           12
    4          715238     6169802        360         475          602378      6102041        737          857           3
    5          719124     6184427        413         533          548134      6158204        734          854           12
    6          723486     6178632        410         530          525924      6100351        831          951           13
    7          723734     6174878        367         487          521959      6153840        780          900           5
    8          719290     6179227        364         484          534033      6225018        764          884           4
    9          726163     6176155        374         494          615509      6254278        697          817           10
    10          701535     6149745        360         468          530279      6147994        836          956           15
    11          649349     6143788        369         489          565076      6258543        785          905           10
    12          683341     6082139        496         616          521794      6186030        861          981           15
    13          693328     6218644        446         566          547316      6092003        842          962           9
    14          712360     6186497        411         531          570640      6217484        717          837           15
    15          699242     6145020        392         512          528634      6122391        747          867           8
    16          676778     6122151        368         488          531257      6123493        727          847           4
    17          727412     6176289        403         523          545983      6158761        754          874           17
    18          712877     6208050        388         508          463884      6151119        889          1009           11
    19          724400     6176858        401         521          495610      6178559        816          936           10
    20          718343     6201909        423         543          574717      6227013        804          924           17
    21          701712     6223742        443         563          534643      6121290        809          929           12
    22          724741     6180242        407         527          460548      6178831        861          981           15
    23          721167     6176441        365         485          521842      6185938        835          955           5
    24          708879     6184748        439         559          523424      6258056        832          952           9
    25          726250     6175111        414         534          522232      6207630        823          943           10
    26          725368     6188213        402         522          533251      6224481        814          934           15
    27          638448     6078069        464         584          490296      6119537        915          1035           4
    28          647218     6141401        398         518          454074      6215598        856          976           11
    29          719623     6184877        368         488          561445      6223124        746          866           4
    30          726534     6174565        397         517          565881      6236184        771          891           16
    31          726555     6173427        430         550          566004      6197318        708          828           5
    32          726879     6174242        415         535          495282      6178668        796          916           10
    33          718931     6204897        395         515          463932      6222681        928          1048           17
    34          727392     6174720        418         538          547291      6216789        751          871           16
    35          711619     6191107        385         505          467567      6147669        861          981           7
    36          669461     6176873        360         460          517240      6123932        799          919           3
    37          719463     6176453        390         510          473866      6259789        908          1028           14
    38          698118     6222801        460         580          587925      6138556        765          885           3
