 NUMBER OF REQUESTS
 20

 NUMBER OF CROSSDOCKS
  1

 VEHICLE CAPACITY          VEHICLE SPEED
       33                        60

 UNIT_TIME_FOR_PALLET      FIXED_TIME_PREPARATION
   1                             10
 REQUEST      SUPPLIER                                            CUSTOMER
 CUST NO.     XCOORD.     YCOORD.     READY TIME     DUE DATE     XCOORD.     YCOORD.     READY TIME     DUE DATE     DEMAND
    0          677908     6150220         0          10000        677908      6150220         0           10000         0
    1          720445     6174094        387         507          589102      6141107        780          900           11
    2          700635     6166282        428         548          491710      6250336        840          960           10
    3          639776     6165743        382         502          561983      6239172        775          895           9
    4          724050     6179607        401         521          464065      6206480        931          1051           6
    5          650574     6158208        360         470          529917      6151195        776          896           12
    6          708344     6183508        392         512          455065      6216521        882          1002           12
    7          710145     6172852        389         509          465320      6146893        849          969           14
    8          659742     6196523        370         490          601115      6102206        787          907           11
    9          714274     6221241        419         539          552750      6190785        811          931           13
    10          716808     6188569        368         488          584312      6139397        698          818           4
    11          723223     6178173        367         487          512477      6185783        988          1108           4
    12          725316     6178516        402         522          565881      6236184        788          908           11
    13          720602     6181329        367         487          557661      6192874        761          881           5
    14          722909     6178310        401         521          500078      6269745        897          1017           13
    15          704983     6218631        395         515          553772      6190983        787          907           12
    16          650211     6143651        376         496          601201      6102741        703          823           14
    17          675739     6064452        426         546          586652      6137667        745          865           13
    18          719286     6174665        394         514          480363      6178063        795          915           12
    19          727591     6173459        395         515          558174      6369831        868          988           14
    20          721740     6179833        403         523          569301      6336868        876          996           12
