 NUMBER OF REQUESTS
 30

 NUMBER OF CROSSDOCKS
  1

 VEHICLE CAPACITY          VEHICLE SPEED
       33                        60

 UNIT_TIME_FOR_PALLET      FIXED_TIME_PREPARATION
   1                             10
 REQUEST      SUPPLIER                                            CUSTOMER
 CUST NO.     XCOORD.     YCOORD.     READY TIME     DUE DATE     XCOORD.     YCOORD.     READY TIME     DUE DATE     DEMAND
    0          677908     6150220         0          10000        677908      6150220         0           10000         0
    1          720683     6220162        433         553          532891      6223718        788          908           4
    2          721520     6174303        392         512          498716      6221569        849          969           17
    3          718607     6191423        391         511          573516      6226689        765          885           10
    4          639863     6162558        397         517          588124      6228133        746          866           5
    5          724421     6180436        400         520          537062      6222060        824          944           4
    6          638158     6137786        360         477          602301      6147956        711          831           6
    7          685597     6157244        360         444          471662      6105055        884          1004           4
    8          657716     6156345        443         563          563954      6257950        840          960           17
    9          724079     6179620        416         536          570158      6224087        823          943           5
    10          721747     6191123        409         529          445420      6212541        956          1076           4
    11          716296     6180966        454         574          532974      6172680        887          1007           8
    12          723944     6177582        440         560          575704      6232998        782          902           12
    13          724034     6180167        386         506          545234      6089613        795          915           4
    14          718939     6174629        406         526          570063      6255827        804          924           11
    15          720260     6207482        461         581          570782      6224793        807          927           6
    16          703791     6210825        422         542          574602      6226391        744          864           7
    17          717829     6187552        429         549          571521      6221261        841          961           5
    18          689170     6099308        369         489          559352      6219725        863          983           7
    19          704930     6173568        360         473          565931      6236972        841          961           8
    20          708746     6197146        462         582          513415      6173759        849          969           16
    21          690749     6160832        360         451          614493      6254864        739          859           5
    22          688373     6154999        445         565          572120      6223281        802          922           5
    23          718306     6174283        424         544          459228      6154062        951          1071           7
    24          720869     6177066        367         487          570702      6225042        785          905           7
    25          691570     6066322        428         548          565087      6258877        811          931           16
    26          662989     6187584        360         478          564719      6230340        866          986           8
    27          706084     6172268        372         492          568486      6219296        889          1009           7
    28          718975     6218509        416         536          446675      6234221        920          1040           7
    29          708968     6203918        382         502          610120      6089327        716          836           10
    30          669697     6075756        470         590          517911      6186575        810          930           8
