NUMBER OF REQUESTS
  500

 VEHICLE CAPACITY
   50

 UNIT_TIME_FOR_PALLET      FIXED_TIME_PREPARATION
    1                          5
 REQUEST      SUPPLIER                                            CUSTOMER
 CUST NO.     XCOORD.     YCOORD.     READY TIME     DUE DATE     XCOORD.     YCOORD.     READY TIME     DUE DATE     DEMAND
    0          250          250            0          1925          250          250            0         1925          11
    1          171           34          229           430          439          237         1079         1819          19
    2           67          190          496           558          377          385         1193         1840           7
    3           80          400          570           639          449          428         1246         1848           2
    4           83          290          171           372          342          481         1133         1828           9
    5          164          320          110           314          466          149         1191         1838          12
    6           52          412          541           598          251           63         1109         1824          14
    7          144          331          522           600          328          491         1128         1827           3
    8          104          349          176           377          260          472         1171         1835           8
    9           28          467          310           524          290          145          979         1802          18
   10           91          427          237           438          266          221         1029         1813           8
   11          210          276          376           442          485          104         1177         1835           6
   12           58           39          285           487          387          394         1139         1829           5
   13           41          232          209           410          472           57         1164         1833          16
   14           25           53          299           549          343          276          986         1803          20
   15           52           18          305           530          429          476         1293         1857           8
   16           27          444          295           567          273          300         1290         1864           5
   17          178           72          192           405          406          460         1150         1830          16
   18          233           87          485           550          250          328         1228         1851           6
   19           60            5          310           605          492           34         1248         1847           3
   20          245           42          208           409          412          100         1197         1840          10
   21          166          345          543           626          406          408         1100         1822          10
   22           32          319          228           506          440          294         1076         1818          19
   23            0          188          257           469          370          382         1065         1816           1
   24          132          477          612           683          480          136         1202         1840           4
   25          203          211           61           262          371          163         1209         1845          16
   26            2          264          248           483          438            5         1238         1845           2
   27          231          167           85           287          423          221         1065         1816          20
   28          130          494          271           477          459           53         1202         1839          12
   29           31          175          231           439          386          154         1079         1819           6
   30           69          423          250           461          352          241          954         1798          14
   31           59          276          192           442          261          201         1129         1832          14
   32          146          188          121           322          451           62         1178         1835          16
   33          142          372          162           363          299          285          959         1799          12
   34          219          210           50           252          440          201         1085         1820          15
   35           64          198          193           436          390          249         1106         1824           4
   36            9          101          283           484          424          288         1082         1819          15
   37           77          372          469           521          298          264          929         1794          20
   38          225          369          121           367          405          454         1135         1828          18
   39          117          178          436           494          407           35         1104         1823           3
   40          132          479          257           461          347          459         1140         1829          18
   41          201           66          455           508          470          138         1242         1848          18
   42          245          176           74           275          348          476         1178         1835          20
   43          115          296          142           343          327          139         1003         1806           2
   44           43          210          210           412          356          256         1130         1830          13
   45           49          353          225           452          335           99         1041         1812          19
   46           33          278          218           500          363           34         1174         1835           2
   47           86          189          174           381          366          288          983         1803          17
   48          218          403          156           362          452          172         1195         1840           6
   49          218           12          665           750          262          369         1016         1808           7
   50          228          399          150           351          492          188         1154         1831          11
   51          210          113          142           418          267          174         1003         1806          16
   52          241          180           70           271          274          441         1207         1843          16
   53          100           85          558           625          370          262         1151         1834          10
   54          114          102          518           581          303          186          989         1804          16
   55           21          146          251           468          350          199         1042         1813          11
   56          201          278           56           257          500          228         1136         1828          17
   57          105          137          581           660          251          238          941         1796          17
   58           64          437          263           518          345          146         1070         1817           3
   59          181          260           69           292          330          147         1050         1814          20
   60          232          101          150           351          476           61         1178         1835          14
   61          108           37          255           516          386          245         1039         1812           8
   62            5          224          512           566          421          499         1153         1831           5
   63           93          413          521           580          426          231         1179         1838           9
   64          210           29          224           447          413          391         1195         1840          20
   65          136          265          452           519          370          493         1164         1833          19
   66          111          178          517           590          447          267         1094         1821           5
   67           57          183          204           467          371          332         1077         1818           6
   68          181          185           94           339          447          383         1134         1828          10
   69            7          382          276           499          325          147         1034         1811          14
   70          174           41          222           426          489          437         1252         1848           8
   71          161          276           92           293          415           95         1136         1828           7
   72          210          379          135           410          331          356         1181         1839          11
   73           60          231          190           391          374          346         1087         1820          19
   74           44          115          246           447          409          155         1356         1872           1
   75           48          293          206           433          291          251          929         1794           3
   76           64          135          218           424          322          290          990         1804          18
   77           65           62          263           482          425          448         1172         1834          14
   78           68          303          189           390          398           49         1155         1831          20
   79          147           30          242           444          453          360         1121         1826           3
   80           89          358          193           394          367           97         1202         1842          20
   81           20          480          325           588          488            3         1329         1862          10
   82          111          392          198           400          404          207         1087         1820          18
   83          248          176           74           275          263          418         1030         1811           7
   84           29          462          306           518          384          149         1065         1816          11
   85          148          462          235           445          340          416         1180         1838          13
   86           44          140          233           503          271          128         1331         1869          10
   87          216          341          375           431          488          173         1169         1834          19
   88          211          411          689           793          439          156         1289         1858           1
   89          178          150          123           393          389          156         1112         1825          12
   90          186          135          131           334          267          162         1003         1806          18
   91           11          403          283           505          413          476         1305         1859           6
