 NUMBER OF REQUESTS
  200

 NUMBER OF CROSSDOCKS
  3

 VEHICLE CAPACITY
   50

 UNIT_TIME_FOR_PALLET      FIXED_TIME_PREPARATION
    1                          5
 REQUEST      SUPPLIER                                            CUSTOMER
 CUST NO.     XCOORD.     YCOORD.     READY TIME     DUE DATE     XCOORD.     YCOORD.     READY TIME     DUE DATE     DEMAND
    0          100          100            0           1000         100          100            0          1000         11
    1          100           25            0           1000         100           25            0          1000         11
    2          100          175            0           1000         100          175            0          1000         11
    3           20           59          172           338          178           61          372          650          19
    4           39          186          172           307          182          110          382          657           7
    5           58           19          174           343          186           65          418          681           2
    6           60           71          115           250          123           90          387          660           9
    7           86          150          135           303          134          157          372          650          12
    8           40           95          156           351          176          132          445          699          14
    9           55          100          155           363          155           17          444          698           3
   10           18           35          177           325          159          187          372          650           8
   11           88          152          150           345          174          194          477          720          18
   12           26           41          170           322          136           90          412          681           8
   13           24          131          150           287          184          140          473          730           6
   14           97          192          159           295          143          179          435          692           5
   15           63           44          144           299          171           69          408          674          16
   16            1           54          178           318          153           19          372          650          20
   17            1          149          199           363          111          189          372          650           8
   18           83          180          149           285          159          105          398          668           5
   19           63          141          125           266          101          127          435          741          16
   20           39          112          128           263          149           78          443          722           6
   21           50           31          161           314          157          142          451          714           3
   22           28          160          186           363          156           93          374          651          10
   23           74          163          170           363          158           81          466          757          10
   24           39          151          146           280          189           83          470          725          19
   25            5          122          200           363          162          162          372          650           1
   26           49           99          117           252          176           58          415          679           4
   27           53          175          155           289          173          147          459          709          16
   28           48          106          137           309          112           42          436          700           2
   29           78          169          140           278          155           22          449          701          20
   30           75          170          140           275          154            7          434          691          12
   31            5          130          184           354          181           39          429          688           6
   32           85           85          106           279          171           36          468          715          14
   33           66            3          171           309          158          132          449          717          14
   34           45           95          121           256          112          174          420          682          16
   35           84          188          162           309          124          191          449          701          12
   36           38          101          147           320          158           20          412          677          15
   37           55           51          175           363          130           55          379          655           4
   38           48           94          120           257          180           66          424          685          15
   39           35            9          178           312          139          158          372          650          20
   40           11          118          173           339          119          113          372          650          18
   41           42          174          164           306          136           12          470          720           3
   42           60          153          160           351          121           48          384          658          18
   43           97          129           95           230          118          117          393          664          18
   44           68          191          167           312          104           88          372          650          20
   45           86          110           83           218          154           29          470          728           2
   46           18           59          217           363          172          186          372          650          13
   47           37          146          148           290          138           72          401          670          19
   48           17           32          173           308          104          142          440          731           2
   49           86           69          125           309          104            5          467          714          17
   50           67           70          115           257          141          146          398          667           6
   51           49           71          125           259          159          196          372          650           7
   52           89          176          143           277          113          100          372          650          11
   53           46           40          147           281          184          101          455          706          16
   54           78           72          134           332          181           70          428          688          16
   55           69          150          135           289          138           61          418          681          10
   56            6          120          172           326          182            9          449          702          16
   57           70          130          124           289          104          176          417          680          11
   58           23          168          169           303          137           41          385          659          17
   59           65           42          134           270          151          180          446          699          17
   60           53          180          159           293          146            3          452          703           3
   61           90            4          198           363          186            8          372          650          20
   62           76          102          135           358          107           96          372          650          14
   63           30           67          213           363          154          184          372          650           8
   64           68          115          146           363          100          144          440          728           5
   65           84           81          130           342          121           46          386          659           9
   66           31           63          162           332          177          134          447          700          20
   67           30          183          175           309          155          107          430          692          19
   68           20           72          151           286          148           38          392          663           5
   69           82           48          158           363          178          127          420          682           6
   70           57          157          139           276          144           92          377          653          10
   71           67          138          117           254          122           13          462          710          14
   72           63          149          127           262          197            7          434          692           8
   73           41           43          181           363          149          176          432          690           7
   74           74           67          115           265          106           41          409          675          11
   75           60          184          176           343          151          132          446          719          19
   76           63          192          180           344          122           38          450          719           1
   77           77          119          120           302          114          122          385          659           3
   78           63          151          129           264          108          148          372          650          18
   79           51          162          145           280          149          103          372          650          14
   80           57          118          114           252          103           97          372          650          20
   81           46            5          180           324          107          133          423          709           3
   82           80          190          159           296          114          183          436          693          20
   83           62          152          147           315          113          105          380          655          10
   84           41           16          170           306          142           27          409          675          18
   85            9          122          171           328          168           58          473          747           7
   86           27           97          143           286          200          162          480          722          11
   87           19           51          167           315          135          110          440          737          13
   88            8           89          159           293          116           52          435          710          10
   89           56          148          131           266          125           53          377          653          19
   90           90          174          141           275          115           50          378          654           1
   91           41           73          139           291          184          110          406          673          12
   92           42          148          142           277          110          110          392          671          18
   93           95           50          135           306          152          122          445          721           6
   94           25          165          176           331          191          124          466          713          19
   95           66           98          152           363          135           45          389          662           2
   96           55           87          119           266          125           49          448          727           7
   97           97            9          197           363          173           42          372          650          10
   98           63          116          106           241          172          179          482          728          12
   99           94          119           86           220          118           45          434          698          11
  100           46          131          155           343          161            3          487          729           8
  101           81          183          184           363          145           71          421          682           2
  102            3          101          166           306          193          127          436          693           4
  103           23          123          146           281          183          170          486          735          15
  104           12           15          189           326          124          165          405          672          20
