 NUMBER OF REQUESTS
  200

 NUMBER OF CROSSDOCKS
  1

 VEHICLE CAPACITY           VEHICLE SPEED
   50                             0

 UNIT_TIME_FOR_PALLET      FIXED_TIME_PREPARATION
    1                          5
 REQUEST      SUPPLIER                                            CUSTOMER
 CUST NO.     XCOORD.     YCOORD.     READY TIME     DUE DATE     XCOORD.     YCOORD.     READY TIME     DUE DATE     DEMAND
    0          100          100            0           804          100          100            0          804           4
    1           20           59          207           316          178           61          585          804           7
    2           39          186          189           316          182          110          498          740          19
    3           58           19          184           316          186           65          537          764          15
    4           60           71          127           250          123           90          466          720          13
    5           86          150          130           253          134          157          559          803           7
    6           40           95          138           261          176          132          529          759          20
    7           55          100          145           302          155           17          567          785           4
    8           18           35          195           316          159          187          474          726          20
    9           88          152          131           254          174          194          575          787           6
   10           26           41          203           316          136           90          527          781           4
   11           24          131          187           316          184          140          562          783          18
   12           97          192          171           295          143          179          540          766          16
   13           63           44          145           268          171           69          504          744          13
   14            1           54          200           316          153           19          495          738          14
   15            1          149          196           316          111          189          563          787           5
   16           83          180          194           316          159          105          470          723          16
   17           63          141          143           283          101          127          466          721          14
   18           39          112          140           263          149           78          466          720          13
   19           50           31          163           286          157          142          466          720          12
   20           28          160          172           297          156           93          467          721           1
   21           74          163          146           269          158           81          466          720           3
   22           39          151          157           280          189           83          523          755           6
   23            5          122          183           316          162          162          466          720          16
   24           49           99          131           257          176           58          543          768           5
   25           53          175          166           289          173          147          527          758          20
   26           48          106          134           264          112           42          473          725          19
   27           78          169          169           316          155           22          563          781          10
   28           75          170          169           316          154            7          507          746           8
   29            5          130          182           312          181           39          562          779          12
   30           85           85          139           316          171           36          544          768           6
   31           66            3          192           316          158          132          466          720           4
   32           45           95          143           283          112          174          466          720          10
   33           84          188          167           290          124          191          577          804          17
   34           38          101          140           263          158           20          565          782          10
   35           55           51          147           274          130           55          499          741           2
   36           48           94          143           286          180           66          552          773           3
   37           35            9          189           312          139          158          511          748          10
   38           11          118          173           302          119          113          530          799          18
   39           42          174          172           295          136           12          531          760          14
   40           60          153          181           316          121           48          549          797          15
   41           97          129          107           230          118          117          466          720          13
   42           68          191          196           316          104           88          511          779           3
   43           86          110           95           218          154           29          562          786           3
   44           18           59          171           296          172          186          542          767           6
   45           37          146          165           302          138           72          466          720          16
   46           17           32          207           316          104          142          495          738           7
   47           86           69          128           276          104            5          466          720          13
   48           67           70          122           246          141          146          489          735           9
   49           49           71          147           286          159          196          554          774          19
   50           89          176          154           277          113          100          466          720          17
   51           46           40          196           316          184          101          488          734           1
   52           78           72          113           236          181           70          554          776          14
   53           69          150          136           259          138           61          513          749           2
   54            6          120          174           298          182            9          573          786          16
   55           70          130          131           272          104          176          541          766          18
   56           23          168          186           316          137           41          558          798           1
   57           65           42          154           290          151          180          466          720          15
   58           53          180          171           294          146            3          545          769           7
   59           90            4          174           297          186            8          591          797           1
   60           76          102          102           225          107           96          536          804           6
   61           30           67          155           278          154          184          562          779          12
   62           68          115          142           309          100          144          466          720          16
   63           84           81          127           288          121           46          466          720           7
   64           31           63          157           283          177          134          570          804           8
   65           30          183          188           313          155          107          475          726           5
   66           20           72          184           316          148           38          550          777          20
   67           82           48          182           316          178          127          549          772           3
   68           57          157          150           275          144           92          466          720          14
   69           67          138          133           263          122           13          526          758          17
   70           63          149          148           285          197            7          580          790           8
   71           41           43          172           314          149          176          552          773           1
   72           74           67          120           243          106           41          508          746          10
   73           60          184          190           316          151          132          466          720          11
   74           63          192          186           316          122           38          505          744           3
   75           77          119          129           285          114          122          466          720           7
   76           63          151          144           273          108          148          466          720           6
   77           51          162          182           316          149          103          543          795           1
   78           57          118          175           316          103           97          466          720          19
   79           46            5          188           312          107          133          466          720          15
   80           80          190          171           295          114          183          529          759          11
   81           62          152          144           272          113          105          466          720           7
   82           41           16          180           303          142           27          515          751          15
   83            9          122          171           294          168           58          585          804           4
   84           27           97          151           274          200          162          466          720           9
   85           19           51          198           316          135          110          517          766          11
   86            8           89          176           308          116           52          589          804           1
   87           56          148          143           266          125           53          486          733           1
   88           90          174          152           276          115           50          549          801           5
   89           41           73          142           265          184          110          551          774           7
