 NUMBER OF REQUESTS
  400

 NUMBER OF CROSSDOCKS
  1
  
 VEHICLE CAPACITY
   50

 UNIT_TIME_FOR_PALLET      FIXED_TIME_PREPARATION
    1                          5
 REQUEST      SUPPLIER                                            CUSTOMER
 CUST NO.     XCOORD.     YCOORD.     READY TIME     DUE DATE     XCOORD.     YCOORD.     READY TIME     DUE DATE     DEMAND
    0          200          200            0          1688          200          200            0         1688          20
    1          123          176          152           595          321          287          881         1194           1
    2          108          399          252           462          234           20          862         1150           8
    3          148           94          171           506          256          385          921         1208           4
    4           35          238          212           483          303          258          782         1081           2
    5           29            9          285           467          356          223          863         1151           8
    6           21           82          242           417          349          324          922         1209           8
    7          146          320          160           341          337           81          871         1157           5
    8          160          313          148           325          237          243          785         1093          20
    9           13           59          266           468          343          134          882         1167          15
   10          123           30          224           462          361          194          839         1130          16
   11          156           32          201           376          330          310          867         1154          16
   12           57          124          212           524          326          335          857         1145           5
   13           92          238          147           350          209          283          806         1101          20
   14           51          205          176           350          267          221          786         1084          14
   15          131           89          165           382          280            5          937         1216          10
   16          195          148           80           253          369            6          945         1221           7
   17          162          316          150           328          359          157          900         1231           5
   18          184          233           64           237          239          252          800         1139          20
   19           29           86          233           406          328            8          920         1200          16
   20          129           53          197           407          340          276          870         1157           8
   21           55          115          195           369          332          124          817         1111          14
   22           16          114          255           580          393          246          928         1223          18
   23           73          126          201           540          348          319          922         1232           5
   24           91           61          206           389          361          287          869         1156          14
   25          117          148          125           298          353           65          942         1278          17
   26           60          319          212           388          244           50          830         1122           2
   27           79           95          188           367          255           80          846         1136          12
   28           35          160          215           497          319          115          801         1097           8
   29          161          124          113           286          358          309          866         1153           3
   30           85          128          170           386          232          131          727         1033          12
   31          152          361          224           574          211          153          727         1033           7
   32          151          231           93           317          327          115          859         1148          15
   33          108           75          206           524          210          294          727         1033          19
   34           33          226          204           424          264          341          875         1161           2
   35           26           70          245           422          309           53          906         1188          16
   36           45          291          213           420          303          358          941         1358          18
   37           30           39          262           437          378          118          879         1165          10
   38           78           85          196           373          329          208          727         1033          20
   39            4          307          259           482          232          127          838         1300           9
   40          151          188           78           251          368           63          889         1173           4
   41           14           53          265           441          280          224          839         1287           7
   42          125          182          118           374          348          102          912         1238           4
   43          116          102          174           455          319          160          856         1168           9
   44          192          268          104           325          220          337          896         1342          19
   45          142          238          115           400          264           69          878         1191          10
   46           81          290          189           438          231          229          831         1452          18
