 NUMBER OF REQUESTS
  20

 NUMBER OF CROSSDOCKS
  1

 VEHICLE CAPACITY
   30

 UNIT_TIME_FOR_PALLET      FIXED_TIME_PREPARATION
    1                          5
 REQUEST      SUPPLIER                                            CUSTOMER
 CUST NO.     XCOORD.     YCOORD.     READY TIME     DUE DATE     XCOORD.     YCOORD.     READY TIME     DUE DATE     DEMAND
    0          100          100            0           1000         100          100            0          1000          0
    1           26           59          170           330          184           64          370          620          13
    2           49          120          160           300          164          107          380          650           7
    3           21           35          180           340          127           68          400          680           2
    4           87           64          110           250          134           79          300          660           9
    5           62          165          130           300          175          174          370          650          12
    6           34           87          150           350          195          132          440          690          11
    7           55          168          150           360          125           20          440          690           3
    8           41           94          170           320          157          162          370          650           8
    9           27           56          150           340          175          184          470          720          10
   10           64           64          160           320          168           73          410          680           8
   11           24          129          140           280          164          140          470          730           6
   12           37           56          160           290          196          162          430          690           5
   13           12           63          140           290          143           10          400          670          10
   14           19           97          190           310          121           62          370          650          14
   15           72          198          170           360          111          143          370          650           8
   16           64           51          120           250          131          105          390          660           5
   17           51          198          130           260          101          160          340          740          12
   18           29          181          130           260          139           80          350          720           6
   19           35          162          170           260          147           90          360          680           7
   20           69          102          120           260          189           70          400          720           6
