 NUMBER OF REQUESTS
  300

 NUMBER OF CROSSDOCKS
  1

 VEHICLE CAPACITY           VEHICLE SPEED
   50                             0

 UNIT_TIME_FOR_PALLET      FIXED_TIME_PREPARATION
    1                          5
 REQUEST      SUPPLIER                                            CUSTOMER
 CUST NO.     XCOORD.     YCOORD.     READY TIME     DUE DATE     XCOORD.     YCOORD.     READY TIME     DUE DATE     DEMAND
    0          150          150            0          1206          150          150            0         1206          20
    1           71          268          258           343          183           80          670         1066           1
    2          140          214          184           271          174          238          777         1122           8
    3           47          203          299           432          166          123          650         1058           4
    4           86          216          237           342          287          293          816         1127           2
    5          107           29          287           402          247           19          722         1088           8
    6          148          157          123           208          152           29          753         1101           8
    7           92          241          228           316          212          270          756         1102           5
    8          119          254          232           322          291          148          758         1103          20
    9           99          226          318           483          162          148          650         1058          15
   10           56          116          217           303          266          212          746         1098          16
   11          110           31          241           326          175          107          650         1058          16
   12           17            0          350           460          184          277          650         1058           5
   13           96           86          200           284          176          235          738         1095          20
   14          136          228          221           324          170           53          739         1095          14
   15          100          138          167           252          154          101          687         1073          10
   16           16           42          289           375          227           62          802         1132           7
   17           67          175          204           290          209          269          729         1091           5
   18           72          286          273           357          207          149          650         1058          20
   19          116           14          351           505          296          211          650         1058          16
   20           26           27          292           377          254           87          766         1106           8
   21           37           14          304           397          201          175          705         1081          14
   22            1           11          326           415          268          113          843         1160          18
   23           74          117          318           488          159           89          730         1097           5
   24           75          191          292           442          175          294          812         1131          14
   25           99          105          249           380          282           76          832         1143          17
   26            6          168          289           394          176          153          748         1121           2
   27           29            8          318           414          207           20          728         1090          12
   28            9           30          301           386          289          143          650         1058           8
   29           90           44          238           322          166          194          672         1067           3
   30           57            7          326           440          295          123          650         1058          12
   31          106          243          226           316          207          237          671         1067           7
   32           85           62          234           325          208          235          690         1074          15
   33          136           50          217           301          267           29          784         1114          19
   34           42          221          284           397          206          121          745         1107           2
   35           60          287          307           411          227            5          784         1114          16
   36           63          170          262           387          151          133          650         1058          18
   37          106          168          173           264          222          100          733         1092          10
   38           73           81          219           304          152           77          731         1094          20
   39           97          232          213           298          225          192          683         1072           9
   40          112           43          229           314          150          104          694         1076           4
   41          135          251          240           341          296          252          785         1114           7
   42           72           20          268           352          214            6          744         1097           4
   43           85           75          229           323          252          219          812         1137           9
   44           52          165          253           366          182          284          776         1111          19
   45           54          136          228           323          259          187          769         1109          10
   46           34          150          253           353          153           61          681         1071          18
   47           37          258          284           376          211          174          810         1154          17
   48           29          130          254           350          199           28          829         1147          14
   49           40          181          257           362          274          136          777         1112          17
   50           61          138          211           300          226          248          808         1134           4
   51          122          127          152           237          203           36          719         1086          14
   52          126          266          311           452          192          150          650         1058           3
   53           19          290          327           425          183           88          670         1066           1
   54           30          243          306           418          165          179          650         1058          18
   55           24          261          284           369          172          198          758         1120           8
   56          149           76          282           432          209           84          650         1058          17
   57            1           81          285           373          181          145          828         1177          12
   58           47          153          219           304          206          157          740         1105          19
   59          125          148          141           226          256          286          832         1137           5
   60          109          148          168           261          234          107          719         1087          14
   61           15           52          325           441          290           37          786         1115           2
   62          108          162          263           422          165          256          792         1128           3
   63          147          240          206           291          188           69          727         1090           8
   64           93          165          176           262          242           70          788         1120          13
   65           72          180          207           297          224           61          710         1083           5
   66           44          286          288           373          283          275          808         1124          15
   67           47          121          226           313          289          130          764         1105          10
   68           30          145          243           332          159          266          789         1123          14
   69            2          238          288           373          198          159          744         1111           7
   70           34            5          314           408          155           93          682         1071          11
   71          103            8          265           350          201          122          650         1058          17
   72           30          149          252           349          278          178          734         1093           5
   73           63          130          206           292          203          183          738         1103          14
   74          107          174          260           414          276           28          812         1126          17
   75           57          123          283           419          199          213          699         1078           3
   76           14          177          254           339          274            6          831         1134          15
   77           84          231          261           375          156          182          726         1102          15
   78           56          212          235           324          168           42          722         1088          11
   79           52          109          236           332          272          211          774         1110           1
   80           88          190          190           274          153          226          753         1109           3
   81           11          191          321           448          250          194          743         1097          14
   82          124          174          210           336          243          136          717         1086          14
   83          127          266          245           337          221          145          873         1197          17
   84          139           31          302           435          296          235          857         1156          14
   85           59          113          214           299          175          123          653         1059           3
   86           76          160          190           275          271          105          841         1156           4
   87           45          190          228           313          169          236          796         1136           3
   88          145           38          228           313          160          179          650         1058          14
   89           44          189          260           367          200           26          769         1107          14
   90          125          168          236           385          189          197          674         1068           7
   91          120          155          146           231          183           44          706         1081          19
   92          120           60          237           340          271            8          819         1128           8
   93           15          259          292           378          161          242          696         1077           1
   94          129           77          192           277          230          150          738         1097          18
   95           29          139          237           322          260           64          762         1105          20
   96          126           42          226           311          237          171          650         1058          17
   97          136           68          253           377          263          291          820         1129          13
   98           64           91          300           442          246           93          729         1091           1
   99          148           28          238           323          250          124          817         1147           2
  100          103           93          190           274          188          142          712         1091          11
  101           37          159          306           445          241          218          706         1081          11
  102           75          269          340           485          183           23          720         1087          11
  103          126          127          149           234          217          138          661         1062          15
  104          103           81          272           409          262          164          669         1066          17
  105           18          196          339           483          259           14          802         1121           7
  106           88           49          246           339          178          263          800         1131          10
  107           60          176          235           338          209          246          813         1142          11
  108           15           88          339           477          275          263          809         1124          13
  109           45           74          245           330          183           43          827         1152          20
  110           37          149          254           356          170           93          691         1075          11
  111           59          287          280           365          167          171          650         1058          16
  112          139          110          161           248          227          192          741         1097          14
  113          136          295          309           428          236           27          753         1101          16
  114          132           16          297           414          243          191          767         1112           4
  115          140           18          300           422          157           84          837         1172           7
  116            4           97          272           357          162           92          711         1084          19
  117          133          153          251           421          150          185          650         1058           8
  118           71          294          280           365          151          113          650         1058           9
  119          133          187          157           241          184          237          712         1084           4
  120          136          241          242           351          230          128          701         1079          13
  121          139          146          128           212          198          100          685         1072           7
  122           15          178          254           338          160           17          729         1091          15
  123           41          279          332           450          180           93          658         1061          20
  124           96           96          207           303          189           41          700         1079          20
  125          137          212          249           385          176          263          801         1132           4
  126            8          227          279           365          263          193          766         1106          19
  127          117          155          167           265          220           43          737         1094          16
  128          113            4          274           365          296           17          807         1123           8
  129          114          259          233           319          217           43          823         1144          12
  130           38           74          295           411          150           67          674         1068          10
  131          148          172          158           256          163          150          650         1058          18
  132          139          250          217           302          167          193          670         1066          14
  133          112          161          175           274          157          254          769         1112          20
  134          127           77          200           290          187          129          650         1058          13
  135          147          152          190           326          234          146          680         1070          10
  136          131          222          190           275          262           14          792         1117           6
  137           43           62          256           342          239           84          704         1080          14
  138           96          199          240           362          152          241          675         1068          13
  139           31           68          280           380          183          282          701         1079          11
  140           14          204          272           364          186           26          780         1113          13
  141          121          116          161           245          175          281          725         1089          15
  142           88          110          190           274          189          201          670         1066          18
  143           25          119          250           338          238          294          792         1117           6
  144          108           80          219           318          250           49          780         1112          11
  145          107          281          254           338          157          221          718         1086           1
  146          118           38          247           342          213          299          785         1114           5
  147          109          299          299           404          271          106          812         1136           1
  148          128          225          246           369          158          140          751         1126           8
  149           69           90          217           301          272          183          785         1117          13
  150           12           10          313           398          203          166          650         1058          16
  151          109           61          215           301          205          130          797         1146           1
  152           11          176          352           505          248          280          768         1107          12
  153          140          294          311           432          297           43          852         1149          10
  154           51            2          294           379          247           86          712         1084          12
  155          102          155          164           249          248           41          741         1096          11
  156           75          265          253           338          246          166          700         1079           6
  157          116          240          335           509          216           40          729         1091           3
  158           30          226          258           343          282          104          781         1112          18
  159           27          255          278           362          253           84          704         1080          13
  160           94           93          232           343          255          203          800         1130          14
  161           57          127          212           296          164          108          679         1070           7
  162           16           22          307           396          266          203          650         1058          11
  163           80          133          323           505          228          217          718         1086           7
  164           75          127          230           340          253           69          754         1101          18
  165            9          239          290           380          180          114          650         1058          15
  166          110           83          240           357          250          228          791         1121           9
  167          102          173          245           384          228          276          839         1149           4
  168           28          141          238           323          166           99          689         1074           8
  169            5          189          340           479          179          123          707         1087          13
  170           44          223          245           330          208          297          790         1116          14
  171            1          145          374           533          241          298          787         1115          12
  172           69          134          199           284          151          172          650         1058           7
  173           24           76          308           425          216          203          735         1094          11
  174           94           12          280           376          241          208          760         1105          18
  175           14          165          296           411          219          152          675         1068           9
  176          114          117          165           249          238          214          814         1143           3
  177           48          141          218           303          173          148          794         1154           2
  178           28          124          244           332          156           57          689         1074           1
  179           12          275          302           387          157           50          731         1092          11
  180            8          200          310           426          276           66          747         1098           6
  181          123           76          198           285          190          181          650         1058          17
  182          108            3          349           491          224          138          650         1058           3
  183          147           43          223           308          154          207          650         1058           9
  184           76          221          253           362          172            2          753         1101          18
  185           29           72          278           375          186          228          650         1058          14
  186           57          192          329           494          191           49          747         1098          11
  187           69          208          315           472          246          133          672         1067           3
  188          112          272          246           332          220           18          743         1097          16
  189          111           40          238           326          182          146          792         1151           1
  190          125          278          366           533          223          198          689         1074          16
  191          102           81          201           286          244           13          816         1128           1
  192           47          143          220           305          274           66          745         1098          19
  193           40            1          331           438          294           64          838         1143          18
  194          135           38          229           314          262           80          756         1102          20
  195          124          299          306           419          180           98          650         1058          17
  196           36          212          246           330          188          198          666         1065           4
  197           89           61          344           515          239          295          796         1119          20
  198           60           72          287           409          152          258          740         1095          20
  199           83          188          193           278          181          297          810         1128           3
  200           11          242          292           383          206          130          680         1070          12
  201           15          219          323           447          241          183          676         1069           5
  202            8            4          320           405          180          106          710         1085          14
  203          102           76          217           311          173          152          650         1058          10
  204            4          296          324           409          235           31          784         1114           7
  205          141          120          147           232          157           12          735         1093           3
  206           78          246          301           433          296           15          852         1143          19
  207          139           33          235           321          172          225          761         1114           9
  208           25          191          256           347          158           83          724         1091          16
  209           82          100          200           285          254          206          802         1132          11
  210            3          119          274           364          236          108          773         1118          11
  211           80          131          188           273          224          229          707         1082          14
  212          131          220          188           273          208          117          716         1086           7
  213          103          260          240           327          176           72          757         1110           5
  214          148            8          402           533          159          287          650         1058           2
  215           57          125          221           312          261          232          725         1089          17
  216           51           63          248           332          277           41          761         1104          11
  217           51          217          286           407          189          240          718         1086           5
  218          149           98          174           264          212           45          745         1098          19
  219           25           64          303           413          231           28          779         1112          18
  220          135          210          179           264          159           42          756         1102           5
  221          113          188          207           318          159           41          755         1102           6
  222          142          188          155           239          229          188          743         1098          19
  223           11          185          261           348          232          121          793         1134           3
  224           99           73          211           298          181          277          732         1092          15
  225          110          262          235           320          281           68          832         1142          10
  226           15            2          349           457          159          300          650         1058          19
  227           72           89          243           349          288          127          732         1092          18
  228           98          129          232           359          230           80          812         1143           9
  229          139          270          237           322          182           81          708         1082          10
  230          143          244          210           295          159          199          699         1078          12
  231          105          252          241           336          280          158          764         1106          12
  232           76          280          284           381          215          295          812         1127           6
  233           61           84          350           523          213          119          744         1104           6
  234           38          139          228           313          229          179          792         1135           1
  235           37           36          277           363          283           65          757         1102           4
  236           81          219          213           298          229           25          798         1120           8
  237          121          246          216           301          274          256          756         1102          11
  238          129           83          186           271          234          213          670         1066           5
  239           87          183          211           312          283          144          736         1094          16
  240           46          155          249           354          208           47          718         1086           2
  241          139          206          173           258          154          299          777         1111           7
  242          114          211          187           271          229           40          819         1139           9
  243           15          209          277           372          289           79          755         1102          20
  244          107          291          264           348          177          281          797         1123          12
  245          101          114          358           533          175          251          759         1105           2
  246            5          195          294           397          210          236          724         1089          16
  247          120          241          219           309          173           64          728         1090           2
  248           83           77          215           300          211           62          795         1130           6
  249           80           35          264           358          230          135          713         1084          15
  250          117           79          194           279          220          182          650         1058          19
  251            3          135          264           348          246          123          710         1083          10
  252           58          240          246           333          300           44          855         1150          12
  253           93          117          182           266          208          208          696         1077           9
  254           80           86          211           295          173           72          758         1111           5
  255          125          136          144           229          265           78          785         1115           7
  256           38           44          270           355          272           70          745         1097          18
  257           45          115          226           311          271          145          707         1082          15
  258           40          236          298           413          184          102          652         1058          16
  259          143           67          205           294          251          195          695         1076          18
  260           20          245          311           420          296          279          788         1115          17
  261            9           63          300           397          195            9          739         1095           8
  262           53          141          213           298          158          291          650         1058           9
  263          143          223          189           274          297          213          774         1110           2
  264          126          233          253           374          205           44          771         1109          13
  265          131           78          240           361          281            8          829         1133           2
  266            7           31          308           396          232           45          765         1106          18
  267          107           39          289           412          266           39          749         1099          12
  268          110          145          156           241          225          210          724         1089          12
  269          111           98          222           337          203          283          816         1134           2
  270           18          151          250           337          289          209          794         1118           7
  271            9          122          275           371          279          189          782         1113           5
  272           33          231          292           400          284           72          746         1098           8
  273           25           14          331           437          228           41          763         1105           7
  274           23          218          267           358          202          161          741         1108           5
  275          117          178          245           391          162          250          688         1074          11
  276           40          192          252           351          299          153          749         1099           9
  277          116          245          219           306          202          292          858         1162          20
  278            4          294          326           415          238          206          706         1081          12
  279           88          124          185           270          275          146          728         1090          14
  280           51          278          286           377          194          234          751         1102           6
  281           26            0          327           423          279           36          814         1126           3
  282           80           67          265           380          238          103          731         1092          16
  283          128          155          138           223          194           11          797         1120          10
  284           18          184          284           392          265          141          700         1079           3
  285          135          139          134           219          264           35          758         1103          20
  286          132          297          264           349          285          285          824         1131          16
  287           43           52          261           346          211          239          749         1099           1
  288          119          214          199           292          233          119          736         1094           6
  289           72           36          270           367          191          234          718         1086           3
  290          108          298          280           373          265          197          758         1103          10
  291           64          170          262           388          285          283          799         1120           2
  292          117          168          260           422          298          135          754         1101          10
  293          113           62          212           296          290          219          783         1114          11
  294           82           35          274           377          293           62          787         1115          16
  295          122           96          177           261          284          244          843         1148          14
  296          119          183          183           284          214          234          743         1097          12
  297           94          109          225           339          176           70          756         1109          13
  298          148          299          318           442          225           73          808         1139           6
  299            2           81          287           377          157          276          650         1058          15
  300           37          126          236           324          208          290          750         1099           6
