 NUMBER OF REQUESTS
  400

 NUMBER OF CROSSDOCKS
  1
  
 VEHICLE CAPACITY           VEHICLE SPEED
   50                             0

 UNIT_TIME_FOR_PALLET      FIXED_TIME_PREPARATION
    1                          5
 REQUEST      SUPPLIER                                            CUSTOMER
 CUST NO.     XCOORD.     YCOORD.     READY TIME     DUE DATE     XCOORD.     YCOORD.     READY TIME     DUE DATE     DEMAND
    0          200          200            0          1688          200          200            0         1688           1
    1          123          176          319           536          321          287         1027         1477          11
    2          108          399          332           435          234           20         1085         1514           9
    3          148           94          256           381          256          385         1015         1465          19
    4           35          238          303           425          303          258         1014         1478          17
    5           29            9          376           485          356          223          863         1392          20
    6           21           82          320           416          349          324         1086         1511           9
    7          146          320          236           332          337           81         1074         1505           2
    8          160          313          225           320          237          243          863         1392           6
    9           13           59          339           435          343          134         1072         1514          19
   10          123           30          293           389          361          194         1011         1463           7
   11          156           32          278           374          330          310          980         1448          11
   12           57          124          269           368          326          335          975         1446           1
   13           92          238          253           379          209          283          927         1423          20
   14           51          205          254           350          267          221          909         1414          16
   15          131           89          240           340          280            5         1002         1458          11
   16          195          148          157           253          369            6         1091         1501          15
   17          162          316          227           323          359          157         1059         1499          16
   18          184          233          141           237          239          252         1015         1502          18
   19           29           86          310           406          328            8         1132         1537           7
   20          129           53          326           474          340          276         1115         1551          11
   21           55          115          277           377          332          124          863         1392           1
   22           16          114          409           596          393          246          863         1392          17
   23           73          126          252           347          348          319         1086         1513          10
   24           91           61          348           504          361          287         1060         1492           7
   25          117          148          307           497          353           65          993         1454           1
   26           60          319          289           385          244           50          986         1451          19
   27           79           95          265           361          255           80          996         1456           3
   28           35          160          339           492          319          115         1009         1462           3
   29          161          124          330           552          358          309         1066         1494           6
   30           85          128          319           486          232          131          867         1394           1
   31          152          361          275           374          211          153          931         1434          16
   32          151          231          164           261          327          115          958         1438           8
   33          108           75          299           429          210          294          897         1409           9
   34           33          226          276           374          264          341          952         1435          14
   35           26           70          322           418          309           53          976         1446          16
   36           45          291          404           607          303          358          984         1450          20
   37           30           39          339           435          378          118         1101         1524           2
   38           78           85          275           373          329          208          920         1420           9
   39            4          307          395           552          232          127          905         1412           5
   40          151          188          155           251          368           63         1042         1477          12
   41           14           53          352           456          280          224          944         1431          16
   42          125          182          182           278          348          102         1111         1540          15
   43          116          102          267           392          319          160          929         1424          13
   44          192          268          173           269          220          337          939         1429           7
   45          142          238          263           440          264           69         1118         1560           3
   46           81          290          260           362          231          229          944         1448          15
   47           21          255          294           392          290           82         1038         1487           1
   48          137          132          203           303          207          185          863         1392          18
   49          147          376          291           389          353          357         1047         1480          12
   50          163          270          184           280          324          184          928         1423          19
   51          158           85          249           365          305          255          972         1444           8
   52           75          238          235           331          381           27         1080         1495           4
   53          122          105          228           324          312          247          961         1439           8
   54           13          220          328           455          384          307         1115         1529           9
   55           46          197          333           495          375          294         1117         1536          11
   56           97          387          335           446          274          247          969         1451           8
   57          184           69          244           346          225           53         1006         1460           7
   58          158          121          258           410          292          392         1074         1493           5
   59          184          235          143           239          267          321          947         1432          10
   60          143          159          178           276          228           96         1024         1492           4
   61           87          147          236           338          334          186         1004         1462          17
   62           48          304          338           478          339            3         1111         1513           5
   63           76           72          287           386          213          216          863         1392           3
   64            1          335          389           524          303          112          977         1447           5
   65          157          220          154           251          307          396          863         1392          18
   66          123          159          192           288          299          227          890         1405          18
   67           52           94          289           387          230          234          863         1392          16
   68          140          344          261           357          299          399         1060         1486          11
   69          168           15          321           443          366          340         1045         1479          19
   70           92          384          318           414          234            7         1036         1474           1
   71           59           51          375           530          327           11         1133         1538           3
   72          100           10          357           487          348          189          938         1428          14
   73           84          293          258           358          266          234          864         1393           7
   74           66          118          388           598          206            7         1046         1479           7
   75           98          107          243           339          260          352         1004         1460          12
   76          103          154          364           597          202            6         1042         1477           1
   77           70           81          289           392          325          311          961         1439           1
   78          148           71          245           342          259          285          918         1418          12
   79            6           62          343           440          366           97         1067         1493          18
   80          165          335          246           343          400          373         1073         1492           4
   81           80          282          263           370          377          144         1064         1495           2
   82           73          124          283           407          200          144          952         1449          17
   83           59           89          440           656          390          376         1149         1540          19
   84          125          175          197           305          206          286         1003         1482           9
   85           52          251          289           409          208           86         1038         1501           5
   86           52          301          326           461          384          294         1076         1496           1
   87          192          200          201           377          315          237          952         1435          16
   88          136          373          290           387          392           14         1117         1513           3
   89           36          288          318           438          269          203          953         1444           5
   90          142          385          299           394          248          286          892         1407          18
   91           40          314          366           520          391           42         1050         1481          18
   92           66            5          343           441          344          154         1049         1496           1
   93           54          341          308           404          250          340         1068         1514           2
   94          101           99          269           386          243          287          931         1425          20
   95          186          179          172           306          362          383          960         1439          17
   96           55          346          311           406          230          266          946         1437          12
   97          135          161          193           300          313           64          863         1392          10
   98           85           61          285           381          279          337         1046         1490          13
   99           19           61          335           433          330          353         1014         1464          14
  100           87          164          223           319          201          195          871         1398           8
  101           80          392          354           470          357          202          863         1392           5
  102           68          250          246           342          203           40         1028         1473          16
  103          192          151          154           250          348          343         1018         1466          13
  104           47          190          258           354          359           42         1003         1459           3
  105          193          390          315           429          248          124          863         1392           2
  106          184          282          322           538          218          134          929         1424           4
  107           86          112          293           428          299          270          937         1427           4
  108          165          126          220           346          248          126          893         1407          14
  109          178          103          225           339          355           41          898         1409           7
  110           26          326          324           423          282          252          978         1455          13
  111            8           68          338           433          377           72         1078         1494           9
  112            2           52          354           451          279          262          961         1439           8
  113          199           45          332           492          384           72         1043         1478          10
  114          124          179          368           630          234           73          961         1439           8
  115          168          223          144           240          310          363          888         1405          17
  116          166          357          265           361          223           41         1086         1525           6
  117           73          292          372           567          285          184          912         1416          20
  118          160           62          248           344          361          236          863         1392           4
  119          190           27          286           389          287          279          883         1402           1
  120          180           15          301           405          384          248          988         1452           5
  121          147          210          159           254          397          283         1122         1535           1
  122          102           42          332           466          326           79         1046         1483          18
  123            8          363          391           519          217          211          863         1392          17
  124          193           18          330           465          364          213         1102         1538          15
  125           17          348          363           479          341           78         1019         1466          10
  126           96           22          317           419          340          290          954         1435           6
  127           46          102          292           393          250          183          863         1392          18
  128          196          129          282           474          287          343         1014         1464          11
  129           37          397          369           472          371          396         1068         1490          10
  130           40           31          360           476          365          303          984         1450          11
  131           96          209          308           493          278          265          920         1420          10
  132          179          175          137           233          367          300         1086         1510           6
  133          195          121          184           280          226           52         1007         1461           7
  134            2           17          384           489          332          216          995         1455           2
  135           88          372          346           474          251           70          947         1432           8
  136          194          121          185           281          285          287         1080         1537          20
  137          175          192          184           328          362          399          935         1427          17
  138           32          163          342           496          231            6         1081         1505          11
  139           75           89          272           368          350          207         1114         1555          14
  140          177          139          274           464          302          274         1090         1543           3
  141           50          315          335           469          241          275          997         1477           4
