 NUMBER OF REQUESTS
 150

 NUMBER OF CROSSDOCKS
  1

 VEHICLE CAPACITY          VEHICLE SPEED
       33                        60

 UNIT_TIME_FOR_PALLET      FIXED_TIME_PREPARATION
   1                             10
 REQUEST      SUPPLIER                                            CUSTOMER
 CUST NO.     XCOORD.     YCOORD.     READY TIME     DUE DATE     XCOORD.     YCOORD.     READY TIME     DUE DATE     DEMAND
    0          677908     6150220         0          10000        677908      6150220         0           10000         0
    1          650638     6158021        405         525          456001      6182195        864          984           14
    2          716363     6174302        410         530          573561      6220766        849          969           8
    3          714911     6181038        399         519          574202      6222406        741          861           16
    4          724924     6185533        413         533          559067      6224221        746          866           5
    5          632526     6172942        434         554          482985      6299268        905          1025           6
    6          711403     6168676        381         501          530776      6123111        808          928           10
    7          714979     6193940        373         493          450058      6275276        903          1023           6
    8          682601     6209485        423         543          457059      6254341        943          1063           8
    9          686102     6142444        360         457          481833      6147085        891          1011           16
    10          717131     6191935        383         503          579030      6318462        784          904           16
    11          701615     6165997        376         496          492235      6232949        820          940           17
    12          678177     6147804        360         436          569830      6223995        841          961           4
    13          710735     6222413        428         548          545397      6153675        767          887           12
    14          724704     6177700        389         509          574717      6227013        805          925           12
    15          708980     6204284        424         544          576668      6228969        735          855           6
    16          677024     6121803        391         511          587925      6138556        772          892           13
    17          722709     6177533        395         515          531010      6224730        816          936           3
    18          698422     6156438        394         514          563296      6173743        747          867           14
    19          703229     6087958        419         539          547109      6158315        797          917           15
    20          661038     6072663        452         572          521717      6221711        923          1043           8
    21          719370     6181877        374         494          460598      6202846        819          939           12
    22          717531     6184056        417         537          562709      6259498        885          1005           8
    23          722935     6174716        412         532          465298      6150065        960          1080           13
    24          668369     6075589        389         509          465532      6222400        1014          1134           4
    25          720196     6206480        409         529          548266      6190586        775          895           3
    26          718316     6180075        371         491          563600      6255182        803          923           11
    27          721720     6173931        389         509          565512      6259203        742          862           16
    28          721058     6176701        421         541          533784      6170531        751          871           14
    29          718122     6191533        411         531          496047      6100558        772          892           17
    30          725781     6175594        429         549          570902      6224382        826          946           4
    31          693224     6169382        364         484          523735      6076792        862          982           7
    32          699534     6110505        401         521          558174      6369831        862          982           10
    33          708663     6183999        427         547          572378      6227023        787          907           15
    34          686167     6208062        401         521          531595      6121089        777          897           15
    35          661986     6072956        418         538          481004      6146967        864          984           12
    36          720053     6185559        369         489          527179      6258725        979          1099           4
    37          718321     6172508        366         486          574690      6226249        769          889           10
    38          671803     6064208        488         608          587535      6144229        940          1060           5
    39          667092     6201519        422         542          575096      6224663        750          870           11
    40          720256     6173988        414         534          603456      6232450        909          1029           13
    41          689479     6170225        360         457          556235      6223229        859          979           4
    42          719072     6179016        364         484          507451      6267191        848          968           4
    43          718762     6207931        434         554          485525      6131869        836          956           13
    44          701830     6146737        360         464          526726      6238828        811          931           10
    45          722137     6180222        383         503          609878      6089368        748          868           6
    46          715574     6181145        372         492          497885      6222434        881          1001           14
    47          697462     6159686        360         461          565087      6258877        762          882           10
    48          700098     6149878        363         483          467692      6148162        885          1005           6
    49          673697     6206064        393         513          547670      6158034        701          821           12
    50          712259     6183737        384         504          568274      6227550        780          900           9
    51          717188     6178230        420         540          561445      6223124        819          939           12
    52          684154     6202383        370         490          535508      6226153        743          863           8
    53          714315     6220590        441         561          503723      6135829        860          980           14
    54          691601     6167322        389         509          534100      6226226        786          906           12
    55          722708     6173970        388         508          524808      6255640        813          933           11
    56          701714     6188937        393         513          490174      6088706        802          922           7
    57          719213     6180299        401         521          571881      6223463        811          931           15
    58          719275     6177589        398         518          580684      6141847        678          798           15
    59          727762     6174679        395         515          531950      6124110        749          869           10
    60          710291     6181146        361         481          570365      6223838        859          979           7
    61          723144     6214421        461         581          526419      6100825        854          974           13
    62          718564     6174490        390         510          574176      6228606        759          879           12
    63          685543     6192535        360         475          465734      6147116        901          1021           3
    64          721690     6179724        421         541          563866      6260752        738          858           11
    65          677100     6123734        360         473          585152      6140536        648          768           17
    66          717262     6187995        440         560          503444      6136503        836          956           3
    67          719195     6180824        376         496          477205      6216954        771          891           15
    68          718885     6172863        389         509          541948      6162255        715          835           15
    69          648340     6141967        376         496          562140      6259809        867          987           8
    70          725510     6185322        439         559          563359      6258348        779          899           12
    71          712578     6208559        392         512          555263      6192416        772          892           15
    72          718155     6198332        402         522          589711      6141402        717          837           14
    73          722638     6176172        377         497          548329      6100790        789          909           16
    74          720693     6177682        377         497          531353      6123893        787          907           3
    75          687430     6165446        360         452          566827      6236500        715          835           5
    76          717944     6176594        397         517          516229      6196190        825          945           7
    77          722356     6179740        367         487          558981      6320928        855          975           4
    78          692874     6169267        360         467          565011      6258729        779          899           13
    79          654530     6175195        360         472          608774      6078953        777          897           8
    80          725047     6185656        397         517          507672      6146041        812          932           14
    81          714997     6192038        422         542          564484      6244145        760          880           12
    82          723052     6182025        437         557          522822      6075035        900          1020           10
    83          692008     6192905        381         501          533510      6226700        786          906           10
    84          719932     6178032        415         535          583063      6144187        921          1041           10
    85          719003     6183251        397         517          578205      6335640        791          911           12
    86          714375     6221017        417         537          468198      6148177        906          1026           11
    87          719063     6204239        393         513          575236      6225171        777          897           16
    88          644119     6076965        462         582          547677      6185370        801          921           16
    89          691607     6216748        464         584          523726      6076787        878          998           6
    90          701504     6124259        360         472          565487      6215460        715          835           7
    91          675096     6122334        517         637          574706      6227014        783          903           4
    92          722438     6177963        426         546          572195      6226635        727          847           15
    93          724826     6177712        380         500          518888      6122143        799          919           16
    94          726193     6175244        379         499          531570      6151682        741          861           15
    95          675246     6123859        410         530          591801      6138834        667          787           6
    96          716283     6174562        363         483          563622      6258232        757          877           8
    97          723397     6214129        417         537          464471      6148159        935          1055           7
    98          717033     6175619        378         498          565018      6258555        782          902           4
    99          722263     6178717        400         520          564718      6230335        756          876           11
    100          676568     6060748        468         588          594245      6122856        761          881           3
    101          723579     6176411        365         485          577125      6233972        721          841           3
    102          717588     6181017        394         514          558758      6369357        827          947           12
    103          697122     6087006        421         541          534447      6225120        872          992           17
    104          645118     6154479        374         494          557519      6254500        797          917           15
    105          715795     6174565        360         479          581553      6238183        706          826           4
    106          695676     6182956        368         488          515322      6190076        741          861           6
    107          720729     6178092        427         547          558174      6369831        842          962           4
    108          722566     6178952        411         531          552800      6191831        801          921           17
    109          698575     6185721        417         537          563568      6259369        766          886           17
    110          724734     6178350        427         547          568431      6218649        720          840           3
    111          681737     6113495        360         478          535540      6175538        826          946           12
    112          727611     6174233        421         541          572080      6223133        713          833           15
    113          722191     6177178        405         525          553124      6317910        790          910           17
    114          703388     6205006        474         594          553240      6191564        1120          1240           4
    115          723390     6178456        369         489          578046      6204281        755          875           6
    116          661183     6131723        360         461          534109      6227114        766          886           7
    117          718419     6179045        372         492          588125      6140042        691          811           13
    118          726041     6174043        413         533          532287      6226114        801          921           3
    119          707001     6171583        360         476          574883      6211635        724          844           10
    120          705215     6202763        446         566          613881      6131271        670          790           8
    121          702446     6111085        378         498          565881      6236184        729          849           3
    122          724347     6181918        397         517          518687      6148555        800          920           17
    123          702864     6089669        392         512          465721      6147044        888          1008           17
    124          691384     6192560        360         480          602241      6103855        716          836           6
    125          724696     6180190        398         518          575229      6211660        704          824           17
    126          708465     6195872        393         513          473357      6169054        847          967           14
    127          723902     6192927        379         499          574098      6210954        780          900           7
    128          651229     6142828        399         519          534588      6226576        764          884           10
    129          676999     6124871        380         500          558981      6320928        841          961           16
    130          718661     6171856        363         483          555985      6089759        953          1073           7
    131          726839     6174554        399         519          574082      6226368        748          868           9
    132          653453     6147162        360         458          579592      6246046        697          817           4
    133          716662     6179588        416         536          468119      6244013        978          1098           10
    134          718653     6172816        408         528          605269      6229248        798          918           9
    135          723870     6216318        436         556          534661      6174121        844          964           6
    136          718456     6179348        393         513          459822      6154150        911          1031           10
    137          725105     6176356        414         534          533510      6224694        844          964           14
    138          686422     6100397        377         497          545622      6153212        805          925           3
    139          709031     6203861        408         528          529578      6096581        876          996           7
    140          726128     6169572        433         553          554339      6179896        767          887           6
    141          714981     6202539        385         505          514894      6148976        769          889           11
    142          729282     6171768        372         492          553690      6191184        827          947           7
    143          650725     6189757        393         513          539837      6084842        745          865           16
    144          652713     6060841        419         539          584872      6137120        745          865           17
    145          711441     6167827        360         471          575190      6223098        728          848           4
    146          717315     6170494        361         481          491802      6088564        821          941           7
    147          710916     6180041        414         534          541644      6248582        773          893           17
    148          719835     6176486        372         492          564570      6258312        755          875           13
    149          679457     6176759        360         461          509019      6158430        812          932           5
    150          725478     6178638        413         533          603456      6232450        886          1006           3
