 NUMBER OF REQUESTS
 150

 NUMBER OF CROSSDOCKS
  1

 VEHICLE CAPACITY          VEHICLE SPEED
       33                        60

 UNIT_TIME_FOR_PALLET      FIXED_TIME_PREPARATION
   1                             10
 REQUEST      SUPPLIER                                            CUSTOMER
 CUST NO.     XCOORD.     YCOORD.     READY TIME     DUE DATE     XCOORD.     YCOORD.     READY TIME     DUE DATE     DEMAND
    0          677908     6150220         0          10000        677908      6150220         0           10000         0
    1          720445     6174094        369         489          589102      6141107        725          845           11
    2          700635     6166282        370         490          491710      6250336        953          1073           10
    3          639776     6165743        415         535          561983      6239172        900          1020           9
    4          724050     6179607        435         555          464065      6206480        848          968           6
    5          650574     6158208        360         470          529917      6151195        833          953           12
    6          708344     6183508        392         512          455065      6216521        883          1003           12
    7          710145     6172852        415         535          465320      6146893        828          948           14
    8          659742     6196523        370         490          601115      6102206        676          796           11
    9          714274     6221241        436         556          552750      6190785        833          953           13
    10          716808     6188569        368         488          584312      6139397        732          852           4
    11          723223     6178173        403         523          512477      6185783        841          961           4
    12          725316     6178516        417         537          565881      6236184        842          962           11
    13          720602     6181329        385         505          557661      6192874        731          851           5
    14          722909     6178310        389         509          500078      6269745        872          992           13
    15          704983     6218631        468         588          553772      6190983        809          929           12
    16          650211     6143651        360         472          601201      6102741        700          820           14
    17          675739     6064452        444         564          586652      6137667        744          864           13
    18          719286     6174665        430         550          480363      6178063        784          904           12
    19          727591     6173459        391         511          558174      6369831        890          1010           14
    20          721740     6179833        420         540          569301      6336868        792          912           12
    21          688638     6066752        444         564          529602      6149628        809          929           12
    22          685375     6099223        406         526          610110      6089119        756          876           15
    23          727247     6173344        416         536          466243      6147569        853          973           14
    24          720234     6171527        375         495          547252      6158792        765          885           3
    25          686488     6181892        360         465          601688      6098734        729          849           3
    26          722720     6173194        415         535          549809      6100818        751          871           10
    27          725894     6172170        402         522          517625      6143306        896          1016           12
    28          663248     6065181        409         529          564719      6230340        828          948           13
    29          702611     6223244        428         548          575261      6225111        811          931           15
    30          716867     6220310        410         530          478324      6153797        858          978           3
    31          720891     6176457        400         520          574197      6222839        775          895           16
    32          714316     6180207        414         534          483511      6257981        836          956           9
    33          677652     6088645        413         533          480580      6091552        896          1016           11
    34          698871     6185847        397         517          609707      6074213        625          745           14
    35          720215     6208109        406         526          609996      6089557        773          893           6
    36          698282     6194382        410         530          592044      6140563        793          913           4
    37          696275     6220307        450         570          586112      6136381        742          862           5
    38          637710     6078139        407         527          575710      6226271        785          905           15
    39          723904     6180112        395         515          578438      6202849        819          939           11
    40          717398     6182604        412         532          577137      6229790        713          833           16
    41          716434     6203330        431         551          548892      6101242        742          862           16
    42          714881     6176375        446         566          591968      6138347        677          797           4
    43          636804     6090537        419         539          613936      6133135        746          866           11
    44          693726     6203334        381         501          574166      6225319        787          907           3
    45          723262     6174599        412         532          525957      6178672        857          977           11
    46          718024     6169678        402         522          509913      6220688        788          908           17
    47          722641     6172870        365         485          556382      6223647        854          974           5
    48          635651     6135564        397         517          589853      6141311        742          862           7
    49          699086     6145012        360         454          488520      6167288        828          948           3
