 NUMBER OF REQUESTS
 200

 NUMBER OF CROSSDOCKS
  1

 VEHICLE CAPACITY          VEHICLE SPEED
       33                        60

 UNIT_TIME_FOR_PALLET      FIXED_TIME_PREPARATION
   1                             10
 REQUEST      SUPPLIER                                            CUSTOMER
 CUST NO.     XCOORD.     YCOORD.     READY TIME     DUE DATE     XCOORD.     YCOORD.     READY TIME     DUE DATE     DEMAND
    0          677908     6150220         0          10000        677908      6150220         0           10000         0
    1          720415     6176264        403         523          538181      6086484        764          884           16
    2          711815     6208837        426         546          588257      6139249        714          834           10
    3          710831     6168718        360         471          528913      6152557        759          879           4
    4          662179     6199594        418         538          500074      6269745        922          1042           4
    5          720134     6210199        386         506          585053      6140355        927          1047           3
    6          723050     6178505        372         492          557926      6181752        804          924           9
    7          722462     6177770        365         485          609023      6077163        805          925           3
    8          719104     6173159        360         480          507721      6199180        908          1028           3
    9          726755     6174369        421         541          522714      6075103        865          985           6
    10          718638     6205725        430         550          526981      6257531        834          954           8
    11          665308     6126823        372         492          465029      6147733        851          971           4
    12          714197     6169877        368         488          466076      6153323        881          1001           3
    13          711357     6175122        365         485          468578      6147060        844          964           14
    14          712256     6183711        407         527          604134      6229591        782          902           10
    15          724312     6179850        391         511          569239      6227022        771          891           7
    16          713038     6174563        411         531          527858      6099834        833          953           8
    17          680041     6165335        395         515          550967      6189326        699          819           16
    18          714000     6175858        361         481          460950      6153723        862          982           7
    19          729376     6171380        389         509          524269      6122271        819          939           3
    20          719162     6180836        368         488          559318      6372820        822          942           7
    21          721643     6191903        397         517          575715      6233068        839          959           4
    22          713328     6180335        396         516          526379      6098375        741          861           15
    23          707883     6172444        360         477          551154      6085190        739          859           10
    24          718616     6178587        367         487          509955      6220242        887          1007           8
    25          692484     6114229        419         539          551548      6086116        760          880           9
    26          722535     6177884        365         485          525913      6100626        756          876           3
    27          717147     6175321        362         482          566795      6235297        776          896           6
    28          711404     6173040        392         512          571232      6217308        850          970           10
    29          725608     6177619        403         523          563362      6174239        702          822           15
    30          721531     6176620        400         520          590770      6143614        726          846           16
    31          727024     6174269        421         541          457130      6170154        864          984           8
    32          721822     6219434        447         567          533887      6226464        829          949           6
    33          719715     6183738        379         499          467870      6149232        867          987           3
    34          719111     6188923        428         548          573181      6218696        814          934           17
    35          702635     6157129        360         462          548053      6158338        765          885           7
    36          724934     6178541        391         511          586957      6140165        690          810           14
    37          716681     6177794        372         492          525684      6178370        793          913           15
    38          713787     6180528        362         482          485912      6227872        966          1086           6
    39          695755     6172192        389         509          533521      6173360        738          858           9
    40          716455     6174308        417         537          505052      6116026        776          896           10
    41          688659     6135290        375         495          535540      6175538        738          858           4
    42          700035     6214037        446         566          549189      6239861        793          913           12
    43          712269     6179072        369         489          520316      6122652        848          968           15
    44          705545     6162553        384         504          525481      6256968        814          934           9
    45          721971     6180065        401         521          530776      6123111        753          873           7
    46          688052     6135622        360         480          530073      6123607        859          979           11
    47          710100     6173389        411         531          573114      6224161        749          869           7
    48          698583     6194463        375         495          532346      6151566        788          908           17
    49          687421     6136064        360         459          468248      6165130        898          1018           12
    50          723831     6185066        379         499          565087      6258877        907          1027           12
    51          692369     6171188        360         463          531606      6149056        760          880           8
    52          719783     6173144        373         493          565881      6236184        735          855           3
    53          724368     6184718        406         526          591924      6240805        745          865           16
    54          718910     6171709        366         486          507179      6176611        826          946           10
    55          711004     6174193        383         503          535450      6215966        800          920           7
    56          708702     6167054        360         475          573914      6227586        675          795           10
    57          706812     6171620        375         495          573813      6224126        764          884           9
    58          704779     6188005        404         524          526303      6227157        801          921           10
    59          721952     6181105        423         543          551966      6086341        740          860           3
    60          695169     6172145        369         489          494564      6180601        930          1050           12
    61          705394     6194122        443         563          575554      6233326        825          945           10
    62          718594     6176589        375         495          535474      6171882        767          887           17
    63          721688     6178481        374         494          561445      6223124        792          912           12
    64          726193     6175244        387         507          497376      6101138        894          1014           4
    65          698743     6187713        436         556          551139      6084521        777          897           6
    66          722615     6173411        368         488          524733      6256240        831          951           8
    67          718397     6202151        408         528          563595      6260055        830          950           11
    68          718031     6176003        383         503          454237      6216277        833          953           10
    69          722924     6179233        377         497          525886      6101092        781          901           14
    70          706865     6203640        380         500          569301      6336868        816          936           10
    71          721263     6182812        386         506          528913      6152557        807          927           8
    72          727868     6174548        402         522          571546      6224364        787          907           3
    73          727518     6172495        391         511          467926      6149124        884          1004           7
    74          682274     6201550        364         484          571194      6204606        731          851           3
    75          723118     6175229        404         524          607823      6101804        693          813           17
    76          724691     6180413        416         536          518775      6122115        741          861           15
    77          727363     6174416        389         509          489644      6172891        814          934           6
    78          712940     6191162        377         497          512792      6134756        841          961           14
    79          649602     6086289        385         505          609004      6077291        760          880           6
    80          657619     6157036        443         563          518022      6123708        807          927           6
    81          718450     6179787        390         510          529291      6148516        717          837           13
    82          709708     6191229        415         535          588521      6138670        694          814           5
    83          719830     6174927        375         495          552372      6192907        700          820           17
    84          717591     6172170        398         518          531065      6148437        722          842           16
    85          698087     6176940        395         515          563649      6259234        735          855           12
    86          720244     6172776        390         510          549137      6100975        733          853           14
    87          723100     6179516        417         537          524521      6104059        810          930           13
    88          652079     6203996        393         513          546279      6151143        817          937           5
    89          703702     6158884        361         481          593371      6136265        673          793           7
    90          711713     6191285        377         497          460854      6268573        903          1023           14
    91          710950     6173907        403         523          526572      6183651        738          858           10
    92          722006     6182438        403         523          575718      6233070        855          975           6
    93          690023     6060711        475         595          531946      6124109        836          956           16
    94          712122     6191519        397         517          554358      6191227        722          842           9
    95          669685     6176898        479         599          584532      6139633        755          875           4
    96          649386     6141704        360         480          587970      6135855        769          889           7
    97          702599     6171971        360         471          573071      6221251        731          851           9
    98          658371     6065672        479         599          490664      6087621        929          1049           10
    99          720272     6186784        420         540          587803      6141009        716          836           15
    100          701301     6151281        370         490          529393      6149102        739          859           12
    101          717030     6169899        412         532          530562      6153373        826          946           8
    102          701205     6223205        413         533          558981      6320928        908          1028           10
    103          722724     6180512        429         549          534971      6225291        855          975           14
    104          657026     6156420        360         464          565087      6258877        827          947           13
    105          722319     6215968        402         522          568274      6227550        770          890           13
    106          710492     6187668        388         508          534546      6174249        717          837           6
    107          720256     6172341        390         510          523383      6254646        789          909           13
    108          726072     6174218        438         558          484987      6131277        787          907           7
    109          716739     6173142        419         539          565869      6083520        797          917           10
    110          687776     6208967        410         530          484976      6146769        883          1003           13
    111          691132     6217096        382         502          500006      6222976        859          979           4
    112          723544     6175957        370         490          550636      6086690        782          902           8
    113          720227     6178031        400         520          506887      6174543        804          924           14
    114          719311     6181885        432         552          523451      6254876        812          932           12
    115          632251     6173172        397         517          548849      6249537        866          986           14
    116          694441     6153193        360         461          604222      6102226        719          839           15
    117          708908     6209317        404         524          561964      6222398        758          878           8
    118          716807     6192498        466         586          590005      6139567        721          841           13
    119          720891     6176457        373         493          521734      6252162        973          1093           13
    120          709710     6180556        399         519          571924      6224087        793          913           15
    121          661117     6131695        406         526          552641      6191378        671          791           17
    122          722267     6173129        411         531          567234      6260178        802          922           9
    123          713156     6178209        401         521          504058      6136354        808          928           15
    124          698967     6186537        428         548          588225      6140567        681          801           8
    125          674923     6120125        360         467          486501      6199593        874          994           7
    126          649748     6177494        360         472          529396      6123147        767          887           3
    127          726158     6174969        404         524          604724      6231216        703          823           7
    128          649630     6143190        360         462          574856      6218206        786          906           3
    129          718844     6172832        364         484          486254      6199978        857          977           8
    130          707172     6171494        400         520          553022      6086415        726          846           15
    131          721667     6179802        421         541          608738      6233600        991          1111           10
    132          726755     6170419        426         546          588048      6140461        665          785           3
    133          662207     6143453        400         520          566024      6085508        652          772           17
    134          691606     6193897        408         528          606602      6074827        789          909           16
    135          723818     6216523        427         547          576263      6232917        792          912           14
    136          662651     6065887        433         553          523721      6076784        847          967           10
    137          717224     6181556        412         532          518033      6142696        772          892           10
    138          695792     6182386        397         517          558835      6332455        876          996           15
    139          687849     6208704        387         507          524348      6172753        762          882           4
    140          714121     6183050        366         486          562373      6260824        825          945           8
    141          643146     6066046        444         564          577335      6233832        803          923           12
    142          721942     6180059        384         504          536373      6189376        762          882           3
    143          684846     6102917        366         486          533717      6170451        973          1093           9
    144          708727     6203653        376         496          558174      6369831        867          987           5
    145          728558     6171612        411         531          527911      6223404        772          892           11
    146          684991     6072884        421         541          575707      6233004        767          887           15
    147          670134     6076842        462         582          562162      6260116        842          962           6
    148          720411     6183133        367         487          573827      6223113        744          864           4
    149          708570     6203779        401         521          534073      6220792        745          865           15
    150          709823     6223099        449         569          530665      6152744        787          907           17
    151          716221     6181020        399         519          531613      6085518        732          852           17
    152          717502     6177841        411         531          588285      6140214        663          783           16
    153          727082     6171839        373         493          564414      6216585        734          854           10
    154          725681     6177536        419         539          533975      6207364        781          901           6
    155          711255     6182485        362         482          518203      6142898        752          872           6
    156          716214     6169673        366         486          575638      6228099        701          821           14
    157          713817     6208341        381         501          521370      6175960        766          886           3
    158          714062     6128560        360         475          571230      6218392        829          949           3
    159          724817     6177687        416         536          565881      6236184        759          879           14
    160          716620     6180472        362         482          565087      6258877        885          1005           3
    161          720745     6211313        406         526          567250      6260136        783          903           9
    162          708784     6167178        382         502          562994      6259868        806          926           17
    163          689324     6103721        362         482          574986      6224911        681          801           5
    164          676247     6061308        440         560          527371      6161822        837          957           17
    165          718789     6173399        403         523          574684      6224852        708          828           16
    166          718197     6188137        393         513          467975      6148612        834          954           10
    167          691443     6070564        439         559          522583      6074651        863          983           12
    168          660491     6072930        406         526          590087      6157578        721          841           17
    169          706997     6165555        360         478          579036      6318518        767          887           16
    170          708224     6203796        435         555          475372      6175148        811          931           15
    171          700248     6149854        386         506          561492      6174324        682          802           4
    172          703186     6183498        367         487          558174      6369831        852          972           16
    173          713906     6180611        387         507          555399      6093316        699          819           14
    174          722438     6172824        444         564          522714      6075103        881          1001           8
    175          684314     6087472        455         575          573018      6225465        785          905           9
    176          713365     6208233        404         524          585887      6136445        750          870           13
    177          689705     6104024        390         510          535570      6225248        744          864           17
    178          719267     6179178        391         511          498515      6221940        843          963           13
    179          716071     6182286        370         490          546194      6158651        746          866           11
    180          712398     6183471        386         506          571952      6371655        859          979           13
    181          722019     6177329        426         546          590271      6139638        735          855           9
    182          710387     6179847        408         528          524402      6098601        805          925           14
    183          724006     6180155        392         512          573472      6148533        682          802           14
    184          721658     6174302        421         541          550986      6086418        764          884           14
    185          723188     6179277        393         513          553070      6317854        836          956           6
    186          722082     6184542        407         527          571952      6371655        836          956           15
    187          717895     6199716        384         504          453820      6215891        854          974           11
    188          711611     6190628        418         538          536660      6137647        797          917           17
    189          728597     6172658        375         495          605080      6104685        662          782           10
    190          664827     6198506        443         563          538719      6116937        749          869           12
    191          714884     6179323        414         534          564717      6230329        788          908           3
    192          723825     6180083        417         537          574714      6223304        730          850           15
    193          719860     6193810        380         500          573892      6225631        806          926           10
    194          649441     6072452        413         533          500076      6269745        908          1028           4
    195          720139     6177504        376         496          563960      6257986        712          832           16
    196          675790     6067210        408         528          564718      6230333        813          933           15
    197          699325     6186378        367         487          461340      6151565        843          963           15
    198          710024     6179710        384         504          560651      6345505        850          970           11
    199          689773     6170149        360         462          577769      6231734        710          830           9
    200          651281     6170982        360         474          529472      6149773        758          878           11
