 NUMBER OF REQUESTS
 20

 NUMBER OF CROSSDOCKS
  1

 VEHICLE CAPACITY          VEHICLE SPEED
       33                        60

 UNIT_TIME_FOR_PALLET      FIXED_TIME_PREPARATION
   1                             10
 REQUEST      SUPPLIER                                            CUSTOMER
 CUST NO.     XCOORD.     YCOORD.     READY TIME     DUE DATE     XCOORD.     YCOORD.     READY TIME     DUE DATE     DEMAND
    0          677908     6150220         0          10000        677908      6150220         0           10000         0
    1          720683     6220162        413         533          532891      6223718        798          918           4
    2          721520     6174303        376         496          498716      6221569        868          988           17
    3          718607     6191423        423         543          573516      6226689        784          904           10
    4          639863     6162558        378         498          588124      6228133        683          803           5
    5          724421     6180436        408         528          537062      6222060        944          1064           4
    6          638158     6137786        377         497          602301      6147956        647          767           6
    7          685597     6157244        360         444          471662      6105055        827          947           4
    8          657716     6156345        372         492          563954      6257950        797          917           17
    9          724079     6179620        438         558          570158      6224087        819          939           5
    10          721747     6191123        387         507          445420      6212541        895          1015           4
    11          716296     6180966        395         515          532974      6172680        797          917           8
    12          723944     6177582        375         495          575704      6232998        735          855           12
    13          724034     6180167        422         542          545234      6089613        736          856           4
    14          718939     6174629        427         547          570063      6255827        763          883           11
    15          720260     6207482        401         521          570782      6224793        803          923           6
    16          703791     6210825        418         538          574602      6226391        763          883           7
    17          717829     6187552        423         543          571521      6221261        837          957           5
    18          689170     6099308        386         506          559352      6219725        802          922           7
    19          704930     6173568        360         473          565931      6236972        862          982           8
    20          708746     6197146        382         502          513415      6173759        828          948           16
