 NUMBER OF REQUESTS
 20

 NUMBER OF CROSSDOCKS
  1

 VEHICLE CAPACITY          VEHICLE SPEED
       33                        60

 UNIT_TIME_FOR_PALLET      FIXED_TIME_PREPARATION
   1                             10
 REQUEST      SUPPLIER                                            CUSTOMER
 CUST NO.     XCOORD.     YCOORD.     READY TIME     DUE DATE     XCOORD.     YCOORD.     READY TIME     DUE DATE     DEMAND
    0          677908     6150220         0          10000        677908      6150220         0           10000         0
    1          704974     6187689        424         544          470214      6227128        898          1018           15
    2          725920     6171153        415         535          527566      6151530        752          872           16
    3          721735     6172681        391         511          574470      6220489        712          832           10
    4          635549     6078720        461         581          615720      6254287        793          913           11
    5          642394     6087294        487         607          574331      6229153        806          926           5
    6          720445     6174094        409         529          572933      6221459        723          843           16
    7          667347     6200876        377         497          534724      6176503        735          855           16
    8          720838     6176573        425         545          525977      6100069        815          935           11
    9          698384     6205845        447         567          603167      6256910        1058          1178           10
    10          710329     6166924        376         496          554891      6232852        709          829           14
    11          636913     6159494        430         550          610671      6088610        712          832           17
    12          722049     6178078        376         496          485820      6111806        801          921           14
    13          688131     6209144        372         492          615421      6254076        807          927           3
    14          717215     6175185        380         500          564259      6258052        746          866           6
    15          693876     6084034        402         522          529764      6222960        760          880           5
    16          632262     6172762        389         509          485109      6251104        857          977           11
    17          716752     6174692        398         518          500397      6148579        870          990           15
    18          721394     6177473        384         504          474942      6164481        893          1013           6
    19          670074     6177817        360         466          581744      6237857        794          914           8
    20          718321     6170178        408         528          491589      6088546        901          1021           13
